entity,attribute,answer,question
联想 i350,手机重量,90g,联想 i350有多重？
盛,笔顺编号,1355 3425 221,盛的笔顺编号是多少？
(2014)江苏中小企业数字化技术应用国际研讨会,承办单位,中国电信江苏公司,(2014)江苏中小企业数字化技术应用国际研讨会是什么单位承办的？
和谐号crh380d型电力动车组,隶属单位,中华人民共和铁路总公司,和谐号crh380d型电力动车组属于哪个单位？
the beatles,录制时间,1968年5月30日—10月14日,the beatles 什么时候录制的？
阿基米德定律,表达式,f＝γv,阿基米德定律的表达式怎么写？
飞利浦lfh0646（2gb）,屏幕类型,1.4英寸液晶显示屏,飞利浦lfh0646（2gb）屏幕是什么类型？
必应,推出时间,2009年5月28日,《必应》什么时候推出的？
查尔斯·伊唐杰,曾效力球队,朗斯足球俱乐部,查尔斯·伊唐杰 效力过哪只球队？
红日长升悍马650,电源类型,台式机电源,红日长升悍马650的电源类型是什么样的？
"2,4-二硝基苯肼",危险性,易燃固体,"2,4-二硝基苯肼的危险性是什么？"
王励勤,铜牌,2004年 雅典,王励勤什么时候在哪获得的铜牌？
歌剧魅影,原著,加斯东·勒鲁,《歌剧魅影》是谁原创的？
满洲里联众木业有限公司,法人代表,王秀权[3],满洲里联众木业有限公司的法人代表是谁？
旗袍,曾用名,长衫、长袍[13],你知道旗袍以前叫什么吗？
奥奇传说光明狮王,出现时间,2013年2月8日,《奥奇传说光明狮王》什么时候播放的？
玛丽安·米尔札哈尼,任职于,普林斯顿大学；斯坦福大学,玛丽安·米尔札哈尼在什么地方任职？
htc one,cpu,qualcomm snapdragon 801 2.5ghz 四核心处理器,htc one的cpu是什么？
999皮炎平,主要用药禁忌,不可以长期使用,使用999皮炎平有哪些禁忌？
阿瑞斯,象征,力量、权力、战争、祸灾、征服、嗜血、武力、勇武,阿瑞斯代表了什么？
正平,开始时间,617年三月,正平从什么时候开始的？
龙泉镇,友好城市,成都市,龙泉镇属于哪个城市？
要听爸爸的话！,作画,竹村洋平,《要听爸爸的话！》是谁创作的？
周健,专业方向,精益生产与精益管理，人因学，中国制造业发展战略,周健学习的是什么专业？
生活情境达人,更新,2012-8-30,《生活情境达人》什么时候更新的？
涌泉汤,功用,催乳,涌泉汤有什么效果？
中国佛教美学史,纸 张,胶版纸,中国佛教美学史的纸张是什么类型？
worm.korgo.g,影响系统,win95/win98/winme/winnt,worm.korgo.g对哪些系统有影响？
格林,球衣号码,1号,格林的球衣号码是多少？
霍氏生发宝,适应症,脂溢性脱发、产后脱发、化学性脱发、雄性激素性脱发、营养性脱发、病理性脱发、弥漫性脱发、斑秃、全秃、谢顶等各种脱发，或者发线后移者或白发者,霍氏生发宝适用哪些症状？
金朝,创建者,完颜旻,金朝是谁创立的？
元红釉刻花云龙纹梨式壶,文物现状,现藏故宫博物院,元红釉刻花云龙纹梨式壶的现状怎么样？
本田cr-v,轴距,2620,本田cr-v的轴距是多少？
利根川进,著名成就,抗体多样性,利根川进的著名成就是什么？
宾得q7套机(5-15mm),机身特性,单电,宾得q7套机(5-15mm)的机身有什么特点？
延津县工商行政管理局,适用地区,延津县,延津县工商行政管理局适用哪个地区？
血竭膏,方剂主治,痛疽发背,血竭膏主治什么病？
名侦探柯南,单行本册数,85卷（至2014年12月18日）,名侦探柯南一共发行了多少单行本？
微店,网站类型,电商，商城,微店属于什么网站类型？
真如寺,旺季门票,20元/人,真如寺的旺季门票价格是多少？
青帮,创建人,翁岩、钱坚、潘清,青帮是谁创立的？
信都公主,封号,信都,信都公主有什么封号？
明基vw2430h,面板类型,：va,明基vw2430h面板是什么类型？
蝎子精,结局,被昴日星官杀死,蝎子精的结局是什么？
金琼楠,出道地区,内地,金琼楠在什么地方出道的？
小白岩村,人均纯收入,1878元,小白岩村的人均纯收入是多少？
嘎日迪五味丸水丸,剂 型,水丸,嘎日迪五味丸水丸属于哪种剂型？
中优463,品种审定编号,赣审稻2006066,中优463的品种审定编号是多少？
上海市闸北妇幼保健院,特色专科,妇产科,上海市闸北妇幼保健院有哪些特色专科？
九州风神阿尔法6,散热方式,风冷,九州风神阿尔法6的是怎么散热的？
三星 e2530,支持频段,gsm 900/1800/1900,三星 e2530支持哪些频段？
辽宁孟家绿色食品开发区,规划面积,20平方公里,辽宁孟家绿色食品开发区占地多少？
连续出版物著录规则,标准号,gb/t 3792.3-1985,连续出版物著录规则的标准号是多少？
圣何塞,人口（2006）,"365,799",2006年的时候圣何塞有多少人？
平克·弗洛伊德,背景资料,英国伦敦,平克·弗洛伊德来自于哪里？
t-50战斗机,生产公司,苏霍伊设计局,t-50战斗机是哪个公司生产的？
笑傲江湖,外景,浙江省仙都风景区 浙江横店影视城,笑傲江湖在哪里取的外景？
莲花县荷花博览园,坐落于,江西省莲花县莲花村,莲花县荷花博览园坐落于什么地方？
qlogic sanbox 3050光纤通道交换机,接口,8口,qlogic sanbox 3050光纤通道交换机有几个接口？
霍屯村,村内资源,钡长石、铜、金、石膏,霍屯村里有什么资源？
丽贝卡·布莱克,出道地点,美国加利福尼亚州 安那翰山,你知道丽贝卡·布莱克在哪里出道？
乔许·汉米尔顿,打击,投球： 左,乔许·汉米尔顿负责哪个位置的打击？
多联式空调技术及相关标准实施指南,商品重量,240 g,多联式空调技术及相关标准实施指南的商品重量是多大？
中华人民共和国最高人民检察院,电话号码,+86 (0)10 65209114（查号台）,中华人民共和国最高人民检察院的电话号码是多少？
cnc英语电视台,主要内容,突发事件,cnc英语电视台主要播放什么内容？
春秋人文报,依托,北京师范大学历史学院,春秋人文报主要依托哪里？
立人e-mini系列i3,机箱样式,卧式,立人e-mini系列i3的机箱什么样式？
巴斯克维尔的猎犬,混音,单声道,巴斯克维尔的猎犬的混音是哪种类型？
土城站,车站代码,bl38,土城站的车站代码是多少？
八五科技,业务范围,管理软件开发和实施的企业,八五科技的业务涵盖哪些范围？
2014omc世界比基尼模特大赛,举办城市,广州,2014omc世界比基尼模特大赛在什么城市举办的？
武汉大学学报（医学版）,曾获奖项,中国高校优秀科技期刊、湖北省优秀期刊。,武汉大学学报（医学版）曾获得什么奖项？
眼睛湿疹,季节分布,四季,眼睛湿疹会在什么季节出现？
武汉生物工程学院,主管部门,湖北省,武汉生物工程学院由什么部门主管？
沙尘暴,危害,污染环境，导致农作物减产,沙尘暴有哪些危害？
卡萨比安乐队,厂牌,"island, vertigo, marrakesh",卡萨比安乐队的厂牌有哪些？
四川省简阳中学,办学理念,以德为先，通材树人,四川省简阳中学的办学理念是什么？
精弘,创立于,杭州,精弘创立于哪？
汉节,形态,以竹为主，柄长八尺,汉节是什么形态？
吉林东北虎俱乐部,主场馆,长春市体育馆,吉林东北虎俱乐部的主场馆 位于哪？
索姆河会战,伤亡情况,英法伤亡79.4万；德军伤亡53.8万,索姆河会战战况伤亡怎么样？
迪士比hq-122,操作方式,热塑封,迪士比hq-122怎么操作？
包青天,主唱,吕良伟,《包青天》是谁唱的？
明唐寅吹萧仕女图,收藏,南京博物院藏,明唐寅吹萧仕女图收藏在哪？
辣椒脐腐病,也称,辣椒蒂腐病、辣椒项腐病。,辣椒脐腐病又叫什么名字？
罗斯福号航空母舰,吃水,11.8米,罗斯福号航空母舰吃水多深？
西双版纳傣族自治州,gdp,2326369万元（2013年）,西双版纳傣族自治州的GDP有多少？
小天鹅tg60-1201ep（s）,洗涤容量,：6kg,小天鹅tg60-1201ep（s）能洗涤多少？
桐梓县人民政府办公室关于调整充实县妇女儿童工作委员会成员的通知,颁布单位,桐梓县人民政府办公室,《桐梓县人民政府办公室关于调整充实县妇女儿童工作委员会成员的通知》是哪个单位颁布了？
清和政策研究会,会长,细田博之,清和政策研究会的会长是谁？
肛门息肉,常见症状,便血，脱垂，肠道刺激,肛门息肉有哪些症状？
雨雪曲,作者姓名,卢照邻,《雨雪曲》是谁写的？
国务院直属机构,行政级别,正部级、副部级,国务院直属机构属于什么级别的行政？
中国青年政治学院社会工作学院,服务对象,我国和谐社会建设与社会发展,中国青年政治学院社会工作学院的服务对象是什么？
2-氨基-5-溴苯甲酸,einecs,227-338-3,2-氨基-5-溴苯甲酸的einecs是什么？
广东省二轻工业集团公司,组建时间,1994年,广东省二轻工业集团公司什么时候组建的？
新村站,上下车人次 -统计年度-,936人/日（含下车人次） -2009年-,新村站
叶抱伊蚊,中文目名,双翅目,叶抱伊蚊中文名字叫什么？
歼-16,乘员,2名,歼-16可以坐多少人？
噪声类/驻波管吸声系数测试仪,频率范围,100hz~10khz,噪声类/驻波管吸声系数测试仪的频率范围是多少？
杨村,土地面积,6304亩,杨村有多少亩土地面积？
宁阳县城管执法局,负责,城市管理,宁阳县城管执法局是由谁管理？
变形警车珀利交通安全篇,角色设计,宋昌根，徐东炫，李硕根，金东倾，洪胜赫,变形警车珀利交通安全篇设计了哪些角色？
西沙河村,主要农产品,大葱、绿苹果、蕹菜,西沙河村有生产哪些农作物？
传说中勇者的传说,卷数,本篇25卷+外传全19卷,《传说中勇者的传说》有多少卷？
巴啦啦小魔仙大电影,片尾曲,星座密码,《巴啦啦小魔仙大电影》的片尾曲叫什么名字？
埃德,• 陆地,420.22 平方公里（162.25 平方英里）,埃德的陆地面积有多少？
般若寺,修建时间,清康熙二十三年,般若寺是什么时候修建的？
大叶黄杨叶斑病,主要为害部位,叶,大叶黄杨叶斑病主要危害什么地方？
大秦铁路,服务类型,货运,大秦铁路是什么服务类型的？
中港投资服务有限公司,公司地址,湾仔轩尼诗道397号,中港投资服务有限公司位于什么地址？
马超,爵位,都亭侯（东汉）→斄乡侯（蜀汉）,马超是什么爵位的？
美孚a0350q0,外形设计,蓝色，红色,美孚a0350q0外形什么颜色？
摩斯拉,前作与续作,魔斯拉2 海底大决战,摩斯拉的前作与续作分别是什么？
粤语,管理机构,香港公务员事务局法定语文事务部,粤语归属什么机构管理？
邝树培,活跃时期,1994年（自由身配音员）,邝树培主要活跃时期是什么时候？
photofast 1.8英寸44针v2(128gb),数据传输率,读取：80,photofast 1.8英寸44针v2(128gb)的数据传输率是多少？
zte中兴sketa u960,摄像头像素,500万,zte中兴sketa u960的摄像头像素是多少？
中国工商银行,股票代号,上交所：601398 港交所：1398,中国工商银行的股票代号是多少？
斯特凡·利希施泰纳,惯用脚,右脚,斯特凡·利希施泰纳习惯用哪只脚？
西区,毗邻,北区、中区、南区、安平区、 安南区,西区挨着什么地方？
腐乳炸鸡块,难易程度,简单,腐乳炸鸡块的难易程度怎么样？
和谐号crh380d型电力动车组,产量,70列,和谐号crh380d型电力动车组的产量是多少？
nec 1940wcxm,最佳分辨率,最佳分辨率,nec 1940wcxm的最佳分辨率是多少？
(z)-2-（2-氨基噻唑-4-基）-2-（1-羧基-1-甲基）乙氧亚氨基乙酸,摩尔质量,273.27,(z)-2-（2-氨基噻唑-4-基）-2-（1-羧基-1-甲基）乙氧亚氨基乙酸的摩尔质量是多少？
点石成金,作 者,古月,《点石成金》是谁写的？
戴高乐号航空母舰,动工,1989年4月14日,戴高乐号航空母舰什么时候开始动工的？
中原文化,地域,黄河中下游地区,中原文化起源于什么地方？
莽山烙铁头,命名人,陈远辉 赵尔宓,莽山烙铁头是根据谁命名的？
听雨,作品体裁,七绝,《听雨》是什么体裁的作品？
狂神,开始创作时间,2005-03-02,《狂神》什么时候开始创作的？
东华街道,代码,130103004,东华街道的代码是多少？
无为胜有为：老子究竟说什么,纸书价格,38,《无为胜有为：老子究竟说什么》的纸书价格是多少？
荷兰学院,建校年代,1969年,荷兰学院是什么时候建设的？
阿昔洛韦,不良反应,皮肤瘙痒或荨麻疹。,服用阿昔洛韦会造成什么不良反应？
乙醇,einecs登录号,200-578-6[1],乙醇的einecs登录号是多少？
马步芳公馆,竣工日期,1943年6月,马步芳公馆什么时候修建完成的？
江苏纵联律师事务所,服务范围,综合法律事务,江苏纵联律师事务所服务哪些范围？
圣斗士星矢,作画监督,荒木伸吾，姫野美智,圣斗士星矢是谁负责监督作画？
罪妾,作品类别,古代言情 都市言情,《罪妾》的作品类别是什么？
大叶黄杨叶斑病,主要危害作物,大叶黄杨,大叶黄杨叶斑病对哪些植物有害？
同安影视城,地 址,厦门市同安区五显镇,你知道同安影视城在什么地方？
巧克力妆,效果,立体感,巧克力妆是什么效果？
谁的顶戴花翎,授权级别,网a级授权,《谁的顶戴花翎》的授权级别是什么？
划记法,所属学科,统计学,划记法属于什么学科？
潮小李,籍 贯,安徽安庆,潮小李是哪里人？
卡卡,妻子,墨无双,卡卡的老婆叫什么名字？
福冈工业大学,所在国家,日本,福冈工业大学是哪个国家的？
善牧堂,建筑风格,普瓦捷罗曼式风格,善牧堂是什么建筑风格？
怯敌-ck7,适用职业,机械师、女机械,怯敌-ck7适用于哪些职业？
悠之空,支持系统,"windows2000, xp, vista,7",《悠之空》可以在哪些系统使用？
五灰膏,用法用量,用时再以新出窑石灰入乳香,五灰膏的用法是怎样？
松原jct,所属公路,近畿自动车道,松原jct属于什么公路？
白头皆老,释 义,夫妻共同生活到老,白头皆老是什么意思？
张莉莹,姓 名,张莉莹,张莉莹的真名叫什么？
闲花弄影,发布状态,已完结,你知道《闲花弄影》现在什么状态吗？
双城区,区划代码,230113,双城区的区划代码是多少？
油菜黑腐病,病原中文名,油菜黄单胞菌油菜致病变种,油菜黑腐病的病原中文名是什么？
战术空军司令部,任务,夺取制空权、实施航空火力支援,战术空军司令部有什么任务？
西平县重渠小吕庄清真寺,建造时间,1945年,西平县重渠小吕庄清真寺什么时候修建的？
精采,同义词,精美、精致,精采的同义词是什么？
交通工程,创立,20世纪30年代,交通工程什么是创立的？
医疗机构手术分级管理办法（试行）,文件号,卫办医政发〔2012〕94号,你还记得《医疗机构手术分级管理办法（试行）》的文件号是多少？
存储区域网络,所属领域,网络,存储区域网络属于什么领域？
卡宾达树皮,使用方法,一般用来泡酒,卡宾达树皮可以怎么使用？
上斜肌手术,适应症,上斜肌麻痹所引起的眼球外旋。,上斜肌手术适用于哪些病症？
广安南站,站址,广安市广安区枣南街,广安南站在什么地方？
黑色食品,包含,黑燕麦 黑豆 黑苦荞米 黑红薏仁,黑色食品指的是什么？
无口的森田小姐,其他译名,沉默的森田同学、森田同学很沉默、森田同学很无口,《无口的森田小姐》还可以怎么翻译？
华严寺,所在城市,宁夏中宁县,华严寺在哪个城市？
湖南辉程,环境,交通方便，环境优雅,湖南辉程环境怎么样？
长治县进士名录,主要人物,王陟，宋淳化三年进士,长治县进士名录里有哪些人物？
马尼拉,市长,约瑟夫·埃杰西多·埃斯特拉达,马尼拉的市长是谁？
天主教利纳雷斯教区,所属教省,圣地牙哥,天主教利纳雷斯教区属于哪个教省？
雨湖公园,美誉,妙绝 西湖胜虎丘”,雨湖公园被称为什么？
日产gt-r,制动方式,前后盘式,日产gt-r用什么办法制动？
捣蛋猪攻略,语言类型,中文,《捣蛋猪攻略》是什么语言的？
龙珠,首播电视台,日本nhk电视台、日本东京电视台,《龙珠》最早在哪个电视台播放？
北京枢纽北京站至北京西站地下直径线,轨距,1435（标准轨）毫米,北京枢纽北京站至北京西站地下直径线的轨距是多长？
氨,相关物质,一水合氨 (nh3h2o),氨与什么物质有关？
十,仓颉,j,十的仓颉是什么？
黑曼巴蛇,分布区域,非洲东部和南部，西非有间断分布；主要在草原、林地和灌丛中活动,黑曼巴蛇分布在什么地方？
手脚冰冷,中医学名,“冷底”或是“寒底”,手脚冰冷在中医学上叫什么名字？
身世之谜,主人公,凤无双,《身世之谜》的主角叫什么名字？
薪酬管理,图书编号,2381977,《薪酬管理》的图书编号是多少？
佳利花园,环线位置,一环以内,佳利花园位于哪个环线位置？
西北野战军,发展,抗日战争末期晋绥解放区,西北野战军从什么时候开始发展的？
超级导购,软件性质,移动app,《超级导购》属于什么性质的软件？
四川省人民防空警报系统管理办法,通过,省人民政府第70次常务会议,《四川省人民防空警报系统管理办法》是哪次会议通过的？
鬼影辣椒,由来,只要轻轻一咬，辛辣气味便会直,“鬼影辣椒”说法怎么来的？
警察机动部队,参与战役,1966年天星小轮加价事件 1967年六七暴动 1970年代至1990年代香港越南船民问题 1981年圣诞骚动 1984年香港的士罢驶事件 2002年至2003年sars事件 2005年香港反对世贸游行冲突 2010年香港反高铁拨款警民冲突 2014年日峰行动,警察机动部队参与过哪些战役？
anc 超魔,传感器类型,cmos,anc 超魔的传感器是什么类型？
我的契约女友,首发,：小说阅读网 东方小说网,《我的契约女友》什么时候发行的？
郑源,音乐类型,流行音乐,郑源的音乐是什么类型？
一元一次不等式组,2,一元一次不等式组成的不等式组,2个一元一次不等式组叫什么？
天主教安拉阿巴德教区,堂区,三十五个,天主教安拉阿巴德教区 有多少个堂区？
加纳,货币,加纳赛地,加纳是什么地方的货币？
满地蟑螂,开发工具,flash,满地蟑螂是靠什么工具开发的？
sks半自动步枪,服役记录,越战 中印边境战争 中越战争 苏联入侵阿富汗战争 2001年阿富汗战争 伊拉克战争 2011年利比亚内战 墨西哥毒品战争 2014年乌克兰亲俄罗斯武装冲突,sks半自动步枪服役记录有哪些？
三姐妹购物狂,游戏标签,购物服装店美女时尚换装,《三姐妹购物狂》是什么类型的游戏？
瑞鑫花园,户型面积,118-138平米,瑞鑫花园户型有多大？
微星r7950-2pmd3gd5/oc,制造工艺,28纳米,微星r7950-2pmd3gd5/oc的制造工艺是多少？
合合买网,创办,杭州合合买网络科技有限公司,合合买网是由谁创办的？
品睿500w,电源版本,atx 12v 2.31,品睿500w的电源版本是什么？
西湖,湖泊类别,淡水湖,西湖属于什么类型的湖泊？
疏风活血汤,药物组成,当归1钱，川芎1钱,疏风活血汤由什么药物组成的？
歼-8,设计,沈阳飞机设计研究所,歼-8是谁由设计的？
2012深圳国际服装贴牌加工（oem/odm）博览会,地 点,中国深圳会展中心,2012深圳国际服装贴牌加工（oem/odm）博览会在什么地方举办？
方正r511v(vur511v-500),前端总线,533mhz,方正r511v(vur511v-500)的前端总线是多少？
凉宫春日系列,发售日,2006年4月21日[1]至2013年6月21日[2],《凉宫春日系列》什么时候发售的？
qq游戏蓝钻贵族,属 性,腾讯公司推行的一种增值服务,你知道qq游戏蓝钻贵族是什么吗？
异特龙,体长,8-10米,异特龙身体有多长？
迪兰恒进镭姬杀手hd3870x2,显存频率,900mhz x 2=1800mhz,迪兰恒进镭姬杀手hd3870x2的显存频率是多少？
子良,父,鬬伯比,子良的父亲叫什么？
度博hd-120z,光学变焦,12倍,度博hd-120z的光学变焦是多少？
其中1个是妹妹！,出版期间,2010年8月－连载中,《其中1个是妹妹！》什么时候出版的？
锦凤,保质期,360 天,锦凤可以保存多长时间？
2011西安世界园艺博览会,会期,2011年4月28日—10月22日,2011西安世界园艺博览会什么时候开展？
王晋英,法定代表人,李维怀,王晋英的法人代表人是谁？
绝望先生,剧本统筹,金卷兼一,谁是《绝望先生》的统筹？
柏林地铁,轨道标准,标准轨,你知道柏林地铁的轨道标准是什么吗？
shellintmgr50u.dll,文件大小,516k,shellintmgr50u.dll文件有多大？
刘恺威,家庭成员,父亲，母亲，妻子，女儿，妹妹,刘恺威家里都有哪些人？
捷希jwl-s521a,支持,64/128位wep加密,哪些地方能用到捷希jwl-s521a？
盗贼的极意,卡种,魔法,盗贼的极意的卡种是什么？
桑普sgw16f,加热方式,碳素管辐射加热,桑普sgw16f依靠什么加热？
塘头厦站,货运业务,办理整车货物发到；不办理危险货物发到,塘头厦站的货运有哪些业务？
壹鼎旺冷锅串串香,源自,四川成都,壹鼎旺冷锅串串香发源于什么地方？
普陀区,隶属行政区,上海市,普陀区属于什么地方？
广州,市花,木棉花,你听过广州的市花是什么吗？
炸鱼肉条,调味料,低筋面粉 1/2杯,炸鱼肉条需要什么调料？
地球,体积,1.0832073×10^12km³,地球的体积是多少？
蔷蘼,亚 科,蔷薇亚科,蔷蘼属于什么亚科？
调经益母片糖衣,药品类别,中药,调经益母片糖衣属于什么类别的药品？
西湖区,人口及经济,46万,西湖区有多少人数？
珠海度假村,客房,500余间,珠海度假村有多少件客房？
魏国,主要民族,华夏族（汉族）,魏国的人们是什么民族？
中国银行,净利润,"▲1,637.41亿元人民币（2013年）",中国银行的净利润是多少？
手机充电器,分为,旅行充电器,手机充电器可以分为什么？
纳斯达克,经营范围,证券交易所,纳斯达克经营范围包括哪些？
天柱山,景区相关名人,郑道昭,天柱山景区有什么名人？
慷慨赴义,示例,材伏哭叩头，举火，烈妇死,你能举个慷慨赴义的例子吗？
邪恶力量,图像制式,1080i (hdtv),邪恶力量的图像制式是什么？
佳源mts转换精灵,资费,免费,佳源mts转换精灵的资费是什么类型？
2011年u17世界杯足球赛,赛事资料,mex,2011年u17世界杯足球赛的赛事资料是什么？
会展中心站,车站类型,地下车站,会展中心站的车站是什么类型？
爱普生eb-b1500,标准分辨率,1024×768,爱普生eb-b1500的标准分辨率是多少？
投币刷卡自助洗车机,收费方式,硬币，ic卡,投币刷卡自助洗车机是什么类型的收费方式？
intel奔腾g2010,插槽类型,lga 1155,intel奔腾g2010的插槽是什么类型？
欧洲,平均海拔,340米（地势最低的洲）,欧洲的平均海拔是多高？
永定区,区划类别,县,永定区属于什么类别的行政区域？
西区,政府编号,34104-5,西区的政府编号是多少？
台中车站,营运系统,台湾高速铁路,台中车站的营运系统是什么？
人和网,创立者,阿里巴巴前创业团队资深成员,人和网是由谁创立的？
九龙巴士60x线,终点站,南九龙,九龙巴士60x线最终到达什么地方？
旺旺中时媒体集团,标语口号,唱旺台湾、旺旺中国[1],旺旺中时媒体集团的标语口号是什么？
奥匈帝国,主要宗教,罗马天主教，新教改革宗，希腊东正教，伊斯兰教逊尼派,奥匈帝国的主要宗教是什么？
皱叶鼠李,是否中国特有,是,皱叶鼠李是否是中国特有？
纯情房东俏房客,正式译名,纯情房东俏房客（ 东立出版社、木棉花 ） 新同居关系（ 创艺出版社）,《纯情房东俏房客》真正翻译成什么名字？
桂花鸡头肉,口感,鸡头肉颗颗洁白似珍珠,桂花鸡头肉吃起来味道怎么样？
月湖琴声,装修状况,毛坯,月湖琴声的装修情况怎么样？
酸碱平衡法,科室,妇科,酸碱平衡法属于哪个科室？
格瑞卫康gw3610,额定电压,：dc4.5（v）,格瑞卫康gw3610的额定电压是多少？
小行星397,绝对星等 (h),9.31,小行星397的绝对星等 (h)是多少？
松下hdc-tm40gk,液晶屏尺寸,2.7英寸,松下hdc-tm40gk的液晶屏尺寸是多大？
台北文化体育园区,建筑师,日本大林组,台北文化体育园区是谁设计建筑的？
广濑荣理子,职业战绩,174胜–132负（女单）,广濑荣理子的 职业战绩如何？
魔兽变种akt,影响平台,win 9x/me/nt/2000/xp/2003,魔兽变种akt能够影响哪些平台？
中国科学院大学,简称,国科大中科院 ucas,中国科学院大学的缩写是什么？
方正r511v(vur511v-500),最高主频,1.86ghz,方正r511v(vur511v-500)的最高主频是多少？
情人节,节日类型,传统节日,情人节属于什么类型的节日？
盘古寺,建设时间,公元1278年,盘古寺什么时候修建的？
皱叶鼠李,是否引种栽培,人工引种栽培,皱叶鼠李是否属于引种栽培？
百式冲锋枪,生产日期,1940 — 1945,百式冲锋枪什么时候生产的？
贵妇犬,拉丁学名,poodle,贵妇犬的拉丁学名叫什么？
盗贼的极意,罕贵度,平卡n,盗贼的极意的罕贵度是什么？
华油杂12,特征特性,半冬性甘蓝型油菜,华油杂12的特征特性是什么？
5月4日,重要事件,五四运动,5月4日发生过什么重要事件？
睿亚训,企业文化,诚信（honest）,睿亚训的企业文化是什么？
v3菱悦,车型尺寸,4405/4420mm*1700mm*1415mm,v3菱悦的车型尺寸是多少？
淮山人参炖乳鸽,制法,乳鸽宰杀后治净，飞水,淮山人参炖乳鸽怎么制作？
福冈交流道,收费站编号,02-807（出入口） 02-840（都市高速）,福冈交流道的收费站编号是多少？
鲁酒薄而邯郸围,注释,邯郸（今河北省邯郸市）,鲁酒薄而邯郸围的注释什么？
巴巴在线,方向,影视、动漫、游戏,巴巴在线主要经营哪些内容？
青山村,人均收入,4300元,青山村的人均收入是多少？
瓷器爆破高清版,应用大小,13.50mb,瓷器爆破高清版应用有多大？
保时捷918 spyder,最高时速,345km//h,保时捷918 spyder最高可达多少速度？
博冠防水观鸟镜 16-32x50,产品用途,观鸟,博冠防水观鸟镜 16-32x50产品有什么用途？
汤普森冲锋枪,生产单位,美国自动武器公司,汤普森冲锋枪是什么单位生产的？
泰州市市区公共租赁住房管理办法,发布机构,泰州市人民政府,《泰州市市区公共租赁住房管理办法》是由什么机构发布的？
爱普生 1100,打印速度,黑白：30ppm，彩色：17ppm,爱普生 1100的打印速度如何？
f-117a隐身攻击机,服役时间,1982年8月23日,f-117a隐身攻击机发服役时间是多久？
幻视,创作者,罗伊·托马斯 john buscema,幻视是由谁创作的？
lg gd580,厂商,lg,lg gd580是由哪个公司生产的？
王府井,演出时间,2013.12.07-2013.12.21（七轮）,《王府井》在什么时候演出？
迪幻字幕组,电影,《明星之恋》,迪幻字幕组为哪部电影制作字幕？
企业号航空母舰,全宽,78米（256英尺）[1],企业号航空母舰有多宽？
2012款瑞麒g5 2.0l自动豪华型,年款,2011,2012款瑞麒g5 2.0l自动豪华型是哪年的车款？
中国银行,子公司,中银香港（控股）有限公司 中银国际控股有限公司 中银保险有限公司 中银基金管理有限公司 中银航空租赁  中银消费金融有限公司,中国银行有哪些子公司？
美洲原住民语言,语系,爱斯基摩-阿留申语系,美洲原住民语言属于什么语系？
最终幻想ⅶ:圣子降临,imdb评分,"7.6/10 (14,748 votes)",最终幻想ⅶ:圣子降临的imdb评分是多少？
别克君越,轴距,2837毫米,别克君越的轴距是多少？
建兴dh-4o1s,光驱类型,bd-rom,建兴dh-4o1s的光驱是什么类型？
大富翁找不同,游戏指南,鼠标点击操作,大富翁找不同游戏怎么操作？
王皇后,陵墓,阳陵,王皇后的陵墓在哪？
内蒙古科技大学,博士点,一级学科2个,内蒙古科技大学的博士点有几个？
香菇白菜汆丸子,制作方法,先把大白菜切成条、葱姜切末备用,你知道香菇白菜汆丸子怎么制作吗？
中外智力名题1000题,作  者,蒋星五，曾琳琳,《中外智力名题1000题》是谁编写的？
和平宴,寓意,和平统一、一国两制、社会和谐,和平宴是什么意思？
rubytech gs-5108n,端口数量,8,rubytech gs-5108n 的端口数量有几个？
南通盛世华城,项目类型,综合体,南通盛世华城是什么项目类型？
溴化异丙东莨菪碱,性状,气雾剂,溴化异丙东莨菪碱是什么形状的？
斐迪南一世,家族,霍亨索伦-西格马林根,斐迪南一世属于哪个家族？
包装箱,执行标准,gb/t 7284-1998,包装箱的执行标准是什么？
张政勇,所属公司,北京橙天智鸿文化经纪公司,张政勇是哪个公司的艺人？
惠普omnibook 6000 f2148,cpu型号,intel piii,惠普omnibook 6000 f2148的cpu型号是什么？
埃德,• 水域,49.02 平方公里（18.93 平方英里）,埃德的水域有多宽？
马斯洛需求层次理论,提出人,亚伯拉罕·马斯洛[2],马斯洛需求层次理论是谁提出来的？
飞利浦bdp2900/93,电源性能,"110-240v,220-240伏,50赫兹",飞利浦bdp2900/93的电源性能是怎样？
《两天一夜》,英文名称,1박 2일 （해피선데이）,《两天一夜》用英文怎么说？
菏泽沃尔沃4s店,简述,沃尔沃在菏泽开的第一家4s店,麻烦你介绍下菏泽沃尔沃4s店？
丑女贝蒂美容,游戏网站,17yy小游戏,丑女贝蒂美容属于哪个网站的游戏？
堇青石,硬度,7～7.5（摩尔硬度）,堇青石的硬度是多少？
诺维帕扎,主场,诺维帕扎尔城体育场,诺维帕扎的主场在哪？
涿鹿之战,时 间,约公元前2500,涿鹿之战是什么时候发生的？
中华人民共和国国家安全部,机构类型,国务院组成部门，国家安全机关,中华人民共和国国家安全部属于什么机构的类型？
pride,曲长,18分20秒,“pride”这首歌有多长？
ak-103突击步枪,供弹方式,30发弹匣[1],ak-103突击步枪是什么样的供弹方式？
波斯尼亚战争,位置,波斯尼亚与赫塞哥维纳,波斯尼亚战争发生在什么地方？
