question,predict_answer,accurate_answer
what kind of government did the united states have after the revolution?,Presidential system,Presidential system
who did veronica lake mary?,André De Toth,André De Toth
who did sir francis drake marry?,Mary Newman,Mary Newman
who plays stephanie plum in one for the money?,Katherine Heigl,Katherine Heigl
what did the ancient romans speak?,Latin Language,Latin Language
what does ringo sing?,Yellow Submarine,Yellow Submarine
where was st. lucy born?,Syracuse,Syracuse
what type of government does australia have?,Parliamentary system,Parliamentary system
where is the university of maryland medical school?,Maryland,Maryland
what objects did galileo see with his telescope?,Ganymede,Ganymede
where did salvador dali study art?,Real Academia de Bellas Artes de San Fernando,Real Academia de Bellas Artes de San Fernando
who was the father of king george vi?,George V,George V
what national team does cristiano ronaldo play for?,Portugal national football team,Portugal national football team
what flower is on the oklahoma quarter?,Chesapeake Energy Arena,Scissor-tailed Flycatcher
what is the zip code for trenton?,08610,08610
what has ashley greene been in?,Skateland,Skateland
where did al qaeda attack?,Iraq War,Iraq War
what language is spoken in switzerland?,Romansh language,Romansh language
who was philip in acts chapter 8?,Apostle Philip,Apostle Philip
what islands did darwin study finches on?,Evolution,"The purpose of the expedition, which lasted for nearly four years, was to survey the east and west coasts of South America, but it also took in the Cape Verde Islands, the Galapagos, Tahiti, New Zealand, Australia, Mauritius and South Africa."
what the time zone in england?,UK £,Greenwich Mean Time
what does egfr african american mean on a blood test?,Protein,Protein
what is the best currency to take to turkey?,Turkish lira,Turkish lira
what system of government is practiced in nigeria?,Presidential system,Federal republic
what else did alexander graham bell invent other than the telephone?,Telephone,Graphaphone
where did holly madison get her breast implants?,United States of America,United States of America
who were mary shelley?,Author,Author
what language do most australians speak?,Greek Language,Greek Language
where is denmark situated?,Euroregion Baltic,Euroregion Baltic
where was teddy roosevelt's house?,New York City,New York City
what is the government system of malaysia?,Parliamentary system,Parliamentary system
what do people speak in canada?,French Language,French Language
what type of money do they use in costa rica?,Costa Rican colón,Costa Rican colón
what timezone is nashville tn?,Central Time Zone,Central Time Zone
what does the sun in the philippine flag represent?,Flag of the Philippines,Province of the Philippines
who was anakin skywalker?,Hayden Christensen,Darth Vader
where did adolf hitler die?,Berlin,Berlin
what is the largest nation in europe?,Belarus,Russia
where was the first gulf war fought?,Kuwait,Israel
who are the senators of virginia 2013?,Mark Warner,Mark Warner
what band was george clinton in?,The Parliaments,The Parliaments
what country borders slovakia?,Ukraine,Ukraine
what was james garfield most known for?,United States Representative,United States Representative
where did paula deen go to school?,Albany High School,Albany High School
where does robert irvine come from?,Salisbury,Salisbury
what style of music does michael jackson perform?,Soul music,Pop music
what does david beckham play?,Midfielder,Midfielder
what does julian lennon do?,Singer,Singer
what is the milwaukee brewers mascot?,Bonnie Brewer,Bonnie Brewer
what is the second biggest state in the united states?,Florida,Hawaii
who led the mexican army at the battle of the alamo?,Joaquín Amaro,Joaquín Amaro
what has charlie hunnam been in?,Green Street,Deadfall
what are all the movies taylor swift has been in?,Hannah Montana: The Movie,Hannah Montana: The Movie
what school did michael jackson go to high school?,Montclair College Preparatory School,Montclair College Preparatory School
what college did brett favre?,The University of Southern Mississippi,The University of Southern Mississippi
what time does registration open portland state?,Zora Lancaster,Zora Lancaster
where did alex chilton die?,New Orleans,New Orleans
what college did martin luther king jr go to?,Bachelor of Divinity,Morehouse College
where is harley davidson made?,Milwaukee,United States of America
what kind of cancer did farrah fawcett die of?,Anal cancer,Anal cancer
who is michael j fox's wife?,Tracy Pollan,Tracy Pollan
what money do i use in costa rica?,Costa Rican colón,Costa Rican colón
what guitar did joe walsh play?,Fender Stratocaster,Fender Stratocaster
what are the official languages of the eu?,Czech Republic,English Language
what is ryan seacrest radio show?,On Air with Ryan Seacrest,On Air with Ryan Seacrest
what did african americans do during the revolutionary war?,Black Like Me,Continental Army Regiment
what language do most italians speak?,Italian Language,Italian Language
what broncos are in the pro bowl?,Wesley Woodyard,Peyton Manning
what money do they use in spain?,Peseta,Euro
what did drew barrymore go to rehab for?,Cocaine,Cocaine
when is saint george day celebrated?,April 23,April 23
what government did the roman empire have?,Autocracy,Family dictatorship
which country won the crimean war?,Russian Empire,Russian Empire
what instrument did robin gibb play?,Violin,Violin
who voiced darth vader?,Hayden Christensen,James Earl Jones
when was abe lincoln president?,Abraham Lincoln 1861 presidential inauguration,Abraham Lincoln 1865 presidential inauguration
where are the texas rangers playing?,Rangers Ballpark in Arlington,Rangers Ballpark in Arlington
what did andrew johnson accomplish as president?,United States Representative,Reconstruction after the Civil War
what is arkansas state capitol?,Little Rock,Little Rock
what is the best tour to egypt?,The Great Pyramid of Giza,eg
where to go in vietnam beaches?,Vietnam,Đắk Nông Province
what is the zip code for nogales az?,85662,85662
when did michael vick start playing for the eagles?,"United States Penitentiary, Leavenworth",2009 NFL season
where do kfc get their chicken from?,Kentucky,Kentucky
what is william taft famous for?,Theodore Roosevelt,President of the United States
who was jesse james killed by?,Assassination,The Assassination of Jesse James by the Coward Robert Ford
where did robin cook die?,Inverness,Inverness
where did melba beals live?,Arkansas,Arkansas
how large is kony army?,Kony 2012: Part II - Beyond Famous,Kony 2012: Part II - Beyond Famous
who is louisiana state senator?,Mary Landrieu,Mary Landrieu
what are the 7 countries that are part of central america?,Honduras,Honduras
where did derek fisher go to college?,University of Arkansas at Little Rock,University of Arkansas at Little Rock
who was kobe bryant drafted by?,Los Angeles Lakers,Los Angeles Lakers
where are the new orleans hornets moving to?,New Orleans Arena,New Orleans Arena
what language does algerian people speak?,Northern Berber languages,Northern Berber languages
where was anne boleyn executed?,Tower of London,Tower of London
what did galileo do to become famous?,Astronomer,Astronomer
what school did martin luther king jr received his doctorate degree from?,Bachelor of Divinity,Boston University
where buddha come from?,Lumbini,Lumbini
what did king henry viii rule?,England,England
what type of cancer did larry hagman have?,Head and neck cancer,Head and neck cancer
where is byron nelson 2012?,Roanoke,Roanoke
what wars did robert e lee served in?,Mexican–American War,Mexican–American War
what russian language called?,Yiddish Language,Yiddish Language
who is in charge of libya now?,President of the General National Congress of Libya,President of the General National Congress of Libya
what currency does australia use 2012?,Australian dollar,Australian dollar
when did shays rebellion start?,1786,1786
what kind of disease does montel williams have?,Multiple sclerosis,Multiple sclerosis
where do flemish come from?,Belgium,Belgium
when is the last time the ravens won a superbowl?,Super Bowl XLVII,Super Bowl XLVII
where did kansas city royals come from?,Kansas City,Kansas City
what style of music does john mayer play?,Soul music,Soul music
what is the theme of scarlet letter by nathaniel hawthorne?,Dark romanticism,Dark romanticism
what inventions did thomas edison invent list?,Phonograph,Phonograph
where did djokovic come from?,Serbia,Serbia
who is the arizona cardinals backup quarterback?,Bruce Arians,John Skelton
what part of the country is new england?,Northeastern United States,Northeastern United States
what money to take to turkey?,Turkish lira,Turkish lira
what kind of music did jimi hendrix play?,Rock music,Rock music
what degrees did obama get in college?,Political Science,Juris Doctor
who were alexander graham bell's siblings?,Chichester Bell,Chichester Bell
when tupac was shot?,Bishop,Tupac 1994 assault
when did liverpool fc last win the champions league?,2006 FA Cup Final,2006 FA Cup Final
who played jeannie?,Barbara Eden,Barbara Eden
what kind of shoes do french people wear?,jansegers,jansegers
where was st peter killed?,Rome,Rome
who does jeremy shockey play for in 2012?,Carolina Panthers,Carolina Panthers
what college did deion sanders jr go to?,Florida State University,Florida State University
when did the battle of alamo start?,2/23/1836,2/23/1836
what were the names of henry viii's three children?,"Prince Henry, Duke of Cornwall","Prince Henry, Duke of Cornwall"
what was queen elizabeth ii childhood nickname?,Queen Elizabeth The Queen Mother,Lillibet
where did tim tebow grow up?,Manila,Manila
where is chesapeake bay bridge?,Anne Arundel County,Anne Arundel County
who played victoria barkley?,Lee Majors,Barbara Stanwyck
where did kennedy's inaugural address take place?,Boston,John F. Kennedy 1961 presidential inauguration
what countries have german as the official language?,German Democratic Republic,Canada
where did the taliban began?,Afghanistan,Afghanistan
what kind of government system did ancient egypt have?,Government of Egypt,Government of Egypt
who plays elena gilbert on vampire diaries?,Nina Dobrev,Nina Dobrev
what happened to jill valentine?,BSAA,BSAA
what does the missouri river bisect?,South Dakota,Mississippi River
what nationality is taylor lautner jacob black?,United States of America,United States of America
what animal represents california?,Olallieberry,California grizzly bear
what company does nike own?,Converse,Converse
what language do colombian people speak?,Wiwa language,Wiwa language
what year did ray allen join the nba?,Shooting guard,1996
what color jerseys do the redskins wear at home?,White,White
what is claire danes famous for?,Actor,Actor
what county is san antonio in?,Comal County,Comal County
what characters does matt stone do?,Kyle / Kenny / Jesus,Kyle / Kenny / Jesus
what timezone is the state of michigan and?,Central Time Zone,Central Time Zone
what type of government did soviet union have?,Communist state,Communist state
what languages are there in japan?,Japanese Language,Japanese Language
what year did the bulls get rodman?,1995–96 NBA season,1995–96 NBA season
who was saint paul the apostle?,Tentmaker,Tentmaker
what hemisphere is africa located in?,Africa,Northern Hemisphere
where did vince scully go to college?,Fordham University,Fordham University
where does princess leia live?,Polis Massa,Alderaan
what famous people are from el salvador?,William Torres Alegria,William Torres Alegria
what type of art did leonardo da vinci make?,lorenzo de' medici patron of leonardo da vinci,Sculpture
where did mary bell live?,Newcastle upon Tyne,Newcastle upon Tyne
what countries don need a visa for usa?,United States dollar,us
who did kimberly williams marry?,Brad Paisley,Brad Paisley
what other movies has ryan gosling been in?,The United States of Leland,The United States of Leland
what political party does julia gillard belong to?,Queensland Labor Party,Queensland Labor Party
what is the currency of germany now?,Euro,Euro
what kind of hispanic is selena gomez?,Mexicans,Mexicans
who did denise van outen married?,Lee Mead,Lee Mead
what are egyptian money called?,Egyptian pound,Egyptian pound
what is the zip code for wyoming michigan?,49519,49519
who is the president of costa rica in 2012?,Laura Chinchilla,Laura Chinchilla
where did martin luther king got shot at?,Memphis,Memphis
who wrote the gospel according to john?,John the Evangelist,John the Evangelist
what form of government is the uk?,Parliamentary system,Parliamentary system
what college football team did john elway play for?,Stanford University,Stanford University
who did nasri play for before arsenal?,Olympique de Marseille,Olympique de Marseille
what currency does the czech republic use now?,Czech koruna,Czech koruna
what age did william penn get married?,william penn not favored by william of orange,william penn not favored by william of orange
what was firefox programmed in?,XUL,XUL
what government does new zealand have?,Parliamentary system,Parliamentary system
where is isthmus of panama located on the map?,Central America,Costa Rica
what is the capital of republic of ireland?,Dublin,Dublin
what has kristen stewart acted in?,Panic Room,New Moon
what did dr josef mengele do?,Physician,Physician
what kind of language does egypt speak?,Arabic Language,Modern Standard Arabic
who are the senators of hawaii 2012?,Daniel Inouye,Daniel Inouye
what form of government does north korea have?,Juche,Single-party state
where did robert kardashian go to college?,University of San Diego,University of San Diego
what happened at chernobyl?,Nuclear accident,Nuclear accident
what county is st james city fl in?,Lee County,Lee County
what did the akkadian empire include?,Babylonia,Babylonia
after how many years are the olympic games held?,Once every two years,Once every two years
what system of government does guyana have?,Semi-presidential system,Semi-presidential system
when was the last time the ny knicks won a playoff game?,1973 NBA Finals,1973 NBA Finals
what team did aguero play for?,Atlético Madrid,Argentina national football team
who is the president of the european union 2012?,Jerzy Buzek,Jerzy Buzek
when is st joseph birthday?,March 19,March 19
what year was kenya moore crowned miss usa?,Miss USA 1993,Miss USA 1993
what sort of government does nigeria have?,Presidential system,Federal republic
where does chef ina garten live?,Brooklyn,Brooklyn
when the atlanta braves won the world series?,1995 World Series,1995 World Series
what is lamar odom doing now july 2012?,Los Angeles Lakers,Los Angeles Clippers
what kind of language do they speak in iran?,Turkmen Language,Turkmen Language
what was the first language spoken in spain?,Spanish Language,Spanish Language
what did scott joplin play?,Piano,Piano
what school did miley cyrus?,Heritage Elementary School,Heritage Elementary School
which hemingway book to read?,Toronto Star,A Farewell to Arms
what language do most people speak in afghanistan?,Pashto language,Pashto language
who is the prime minister of jamaica west indies?,Portia Simpson-Miller,Portia Simpson-Miller
what role did paul mccartney play in the beatles?,Backing vocalist,Backing vocalist
when did juventus win the champions league?,1996 UEFA Champions League Final,1996 UEFA Champions League Final
when does school start for the university of oregon?,University of Oregon,University of Oregon
who is robin roberts father?,Lawrence E. Roberts,Lawrence E. Roberts
what is the capital of australia victoria state?,Melbourne,Melbourne
where is french spoken most?,jansegers,France
what team is reggie bush on 2011?,Miami Dolphins,New Orleans Saints
what highschool did emily osment go to?,Flintridge Preparatory School,Flintridge Preparatory School
what currency should i take to mexico?,Mexican peso,Mexican peso
who is thor heyerdahl?,Film Director,Film Director
what area of science did leonardo da vinci study?,lorenzo de' medici patron of leonardo da vinci,Writer
where did troy aikman play football?,Dallas Cowboys,Dallas Cowboys
who played cletus hogg?,Jack Polick,Jack Polick
who won fa cup 1976?,Portsmouth F.C.,Manchester United F.C.
what did general robert e lee die from?,Pneumonia,Pneumonia
what style of art did henri matisse do?,Fauvism,Impressionism
who plays chuck bass in gossip girl?,Ed Westwick,Ed Westwick
what countries have territories in oceania?,Pacific Ocean,Northern Mariana Islands
what county is st. louis park in?,Hennepin County,Hennepin County
what is the political system of south africa?,Parliamentary republic,Federation
when does parliament sit in canberra?,"Old Parliament House, Canberra","Old Parliament House, Canberra"
what language group does germany belong to?,Bavarian Language,Bavarian Language
what timezone is tucson arizona in right now?,Mountain Time Zone,Mountain Time Zone
when was lucy lawless born?,New Zealand,New Zealand
which political party does barack obama represent?,Democratic Party,Democratic Party
where is the empire of ghana?,West Africa,West Africa
what kind of leukemia did jill clayburgh have?,B-cell chronic lymphocytic leukemia,B-cell chronic lymphocytic leukemia
what is the name of the book hitler wrote in jail?,Hitler and His Generals: Military Conferences 1942-1945,Mein Kampf
what is there to see in sydney australia?,Sydney Opera House,Sydney Opera House
where was marilyn monroe found dead?,Brentwood,Brentwood
what states does the sierra nevada run through?,Nevada,Nevada
what language is spoken in greek?,Greek Language,Greek Language
what team did monta ellis get traded to?,Milwaukee Bucks,Milwaukee Bucks
what is the name of the speaker of the house of representatives now 2011?,Nancy Pelosi,Nancy Pelosi
who plays stanley hudson?,Leslie David Baker,Leslie David Baker
what record label is kelly clarkson signed with?,RCA Records,RCA Records
where does tim roth come from?,England,England
what kind of equipment did isaac newton use?,Reflecting telescope,Reflecting telescope
what currency should you take to vietnam?,Vietnamese dong,Vietnamese dong
who did roger federer married?,Mirka Federer,Mirka Federer
what kind of money do i need in costa rica?,Costa Rican colón,Costa Rican colón
what caused the embargo against cuba?,Ten Years' War,Fulgencio Batista
what is the name of the capital of belgium?,City of Brussels,City of Brussels
what kind of government does japan have now?,Parliamentary system,Parliamentary system
what pieces of music did claude debussy compose?,Cello Sonata,Cello Sonata
who was selena gomez in barney and friends?,Gianna,Gianna
who plays caesar flickerman in the hunger games?,Art Conforti,Art Conforti
where did the gettysburg address?,Gettysburg,Gettysburg
what was the name of jfk's brothers?,Robert F. Kennedy,Robert F. Kennedy
who was tupac signed to?,Tupac 1994 assault,Death Row Records
what was augustus caesar famous for?,Roman emperor,Roman emperor
what kind of tennis racquet does serena williams use?,2010 Australian Open,Yetunde Price
what language does colombia?,Wiwa language,Wiwa language
what is the zip code for schenectady new york?,12325,12325
who was president in 1988 in the united states?,Richard Nixon,Ronald Reagan
where can you find wind turbines in canada?,Ottawa,Alberta
who owns google 2012?,Larry Page,Larry Page
what drink did john pemberton create?,Coca-Cola,Coca-Cola
what position did stanley matthews play?,Midfielder,Midfielder
what type of government does brazil have 2011?,Constitutional republic,Brazilian Labour Renewal Party
what was bonnie prince charlie full name?,Charles Edward Stuart,Charles Edward Stuart
who makes the voice of stewie griffin?,Seth MacFarlane,Seth MacFarlane
who is angelina jolie mom and dad?,Jon Voight,Jon Voight
who is the governor of indiana 2009?,Mitch Daniels,Mitch Daniels
who brad pitt has dated?,Angelina Jolie,Angelina Jolie
what party does barack obama belong to?,Democratic Party,Democratic Party
what is san francisco zip code?,94109,94109
who has stephen ireland played for?,Manchester City F.C.,Manchester City F.C.
what do people in france like to do for fun?,French Language,Cycling
where did john mayer go to college?,Berklee College of Music,Berklee College of Music
what celebrities has brody jenner dated?,Jayde Nicole,Jayde Nicole
what is malaysian currency?,Malaysian ringgit,Malaysian ringgit
who are china's neighbors?,Standard Mandarin,Pakistan
who owns volkswagen car company?,Volkswagen Group,Volkswagen Group
which is the main train station in rome?,Civitavecchia Ferry Terminal,Roma Termini railway station
what did steve mcnair died from?,Ballistic trauma,Ballistic trauma
who is the newly elected governor of california?,Jerry Brown,Jerry Brown
who plays roxanne in ghost rider?,Daryl Hannah,Daryl Hannah
where is the sony ericsson company?,London,London
what kind of currency does the dominican republic have?,Dominican peso,Dominican peso
what to do this weekend in manchester with kids?,Urbis,Urbis
what sport is popular in italy?,Italy women's national football team,Italy women's national football team
where is the main headquarters of google?,California,California
what was jesse owens education?,Ohio State University,Ohio State University
where does carlos santana live?,Jalisco,Jalisco
what is the new movie john carter about?,Adventure film,Adventure film
what was goebbels role?,"""After Hitler's coup in 1933, Goebbels was named ""Reich Minister for Public Enlightenment and Propaganda"" and president of the newly-formed ""Chamber of Culture"", which gave him total control over Germany's media.""","""After Hitler's coup in 1933, Goebbels was named ""Reich Minister for Public Enlightenment and Propaganda"" and president of the newly-formed ""Chamber of Culture"", which gave him total control over Germany's media."""
what countries does nafta include?,Canada,Canada
what county is houston tx in?,Montgomery County,Montgomery County
where do the seattle seahawks play?,CenturyLink Field,CenturyLink Field
who does michael keaton play in cars?,Chick Hicks,Chick Hicks
what are the mountains in northern spain?,Pyrenees,Pyrenees
where is the riviera casino?,Las Vegas,Las Vegas
what is the holy book of the buddhist religion?,Amitabha Sutra,Amitabha Sutra
who became president when henry harrison died?,John Tyler,John Tyler
where did richard arkwright grow up?,England,England
what other books did louis sachar write?,Sixth Grade Secrets,Dogs Don't Tell Jokes
when did roth ira originate?,"William V. Roth, Jr.","William V. Roth, Jr."
what is the best zelda game to start with?,The Legend of Zelda,The Legend of Zelda: Ocarina of Time
who does the voice for darth vader?,David Prowse,James Earl Jones
what is the dominant religion in the us?,Unitarian Universalism,Christianity
what did thomas malthus do?,Mathematician,Mathematician
what is the zip code for newark california?,94560,94560
what states share a border with tennessee?,Virginia,Virginia
what to see and do in vancouver washington?,Slocum House,Slocum House
what war did the us lose the most soldiers?,War in Afghanistan,Vietnam War
what kind of government is egypt?,Government of Egypt,Semi-presidential system
what musical instruments does justin bieber play?,Catching Feelings,guitar
who is james madison and what did he do?,The Invasion of Canada,United States Representative
what did obama do before he was elected president?,Dreams from My Father,Illinois State Senator
where do john lennon die?,New York City,New York City
who plays edward on deception?,Robert Pattinson,Robert Pattinson
what was herbert hoover best known for?,8/10/1874,President of the United States
what games will be on nfl network this year?,New York Jets,New York Jets
what is the current time in bangalore india?,UTC+05:30,UTC+05:30
what language do people from greece speak?,Greek Language,Albanian language
where is the phillies spring training stadium?,Philadelphia,Philadelphia
what movies does matt dallas play in?,The Story of Bonnie and Clyde,The Story of Bonnie and Clyde
who was john f kennedy's family?,Lee Harvey Oswald,"John F. Kennedy, Jr."
where is harley davidson corporate headquarters?,Milwaukee,Milwaukee
when was john paul ii?,10/16/1978,10/16/1978
where is belgium germany?,Europe,Western Europe
where did starbucks get their logo?,Howard Schultz,Howard Schultz
where was the ottoman empire based?,Constantinople,Austria-Hungary
where was bin laden found and killed?,Abbottabad,Abbottabad
what are the names of harry potter movies in order?,The gospel according to Harry Potter,Harry Potter and the Half-Blood Prince
what did pamela courson die from?,Heroin overdose,Heroin overdose
what did dr jack kevorkian do?,Physician,Assisted suicide
what does bolivia border?,Brazil,Brazil
who plays stacey in the stacy's mom video?,Lacey Turner,Lacey Turner
who does nolan ryan play for?,California Angels,California Angels
what is the currency of sweden in 2010?,Swedish krona,Swedish krona
what country does justin bieber come from?,Canada,Canada
what is the head judge of the supreme court called?,John Roberts,Chief Justice of the United States
who was frida kahlo influenced by?,Surrealism,Diego Rivera
where is taylor swift from?,Reading,Reading
what type of religion does argentina have?,Protestantism,Protestantism
when is the last time the giants won the world series?,2012 World Series,2012 World Series
what is the main language used in china?,Chinese language,Chinese language
where did the battle of waterloo occur?,Waterloo,Waterloo
what spain brought to the new world?,Madrid,Spanish Language
who did vladimir lenin marry?,Nadezhda Krupskaya,Nadezhda Krupskaya
what year did the baltimore ravens win superbowl?,Super Bowl XLVII,2000 NFL season
what team does cristiano ronaldo play for 2011?,Portugal national football team,Real Madrid C.F.
what are physical features of egypt?,The Great Pyramid of Giza,Sahara
what book is mark twain famous for?,Tom Sawyer Abroad,Tom Sawyer Abroad
what is money called in italy?,Euro,Euro
what is the government of france for 2010?,Constitutional republic,Constitutional republic
where did theodor schwann study?,Humboldt University of Berlin,Humboldt University of Berlin
how old is bruno mars and where is he from?,Honolulu,Honolulu
who are the virginia senators 2013?,Mark Warner,Mark Warner
what was dr seuss's real name?,Writer,Theodor Robert Geisel
what countries are members of the security council?,Verdict on Kashmir,Verdict on Kashmir
where are the nordic countries?,Northern Europe,Northern Europe
what country sponsored ferdinand magellan?,Explorer,Portugal
what did vera ellen die from?,Cancer,Cancer
what is the capital of modern day egypt?,Cairo,Cairo
what province is toronto in ( 7 letters )?,Ontario,Ontario
where do most illegal immigrants in the us come from?,Tom Selleck,Mexico
who will plaxico burress play for in 2011?,Pittsburgh Steelers,New York Jets
what is the currency of brazil now?,Brazilian real,Brazilian real
what types of art did andy warhol do?,Film Director,Pop art
what other states border florida?,Alabama,Alabama
who does mike marry at the end of season 5 desperate housewives?,Susan Delfino,Susan Delfino
what are the predominant religions in russia?,Russian Orthodox Church,Russian Orthodox Church
what countries were part of the spanish empire?,Europe,Honduras
who will coach carolina panthers in 2013?,Ron Rivera,Ron Rivera
where did louis sachar grow up?,East Meadow,East Meadow
who plays marshall eriksen?,Jason Segel,Jason Segel
what activities are there to do in greece?,Ionian Islands,Ionian Islands
what to do for fun in houston?,George R. Brown Convention Center,George R. Brown Convention Center
where did otto frank go to college?,Heidelberg College,Heidelberg College
what else has jennifer lawrence played in?,Mystique,The Poker House
who is the governor of pennsylvania state now?,Tom Corbett,Tom Corbett
where is ancient phoenician?,Lebanon,Lebanon
where does the celtics practice?,TD Bank Garden,TD Bank Garden
what did george washington do as a teenager?,Surveyor,Surveyor
where bin laden got killed?,Abbottabad,Abbottabad
where does toronto get its water from?,Ashbridges Bay Wastewater Treatment Plant,Ashbridges Bay Wastewater Treatment Plant
what language do people from bosnia speak?,Croatian language,Croatian language
where did hugo chavez go to school?,Daniel Florencio O'Leary School,Daniel Florencio O'Leary School
who does japan import from?,Canada,Canada
what is the name of sonia gandhi daughter?,Priyanka Vadra,Priyanka Vadra
who do islamic people pray to?,Muslims,Allah
where was mary todd lincoln from?,Lexington,Lexington
where did charles darwin die?,"Downe, Kent",Down House
what movies does nick cannon play in?,A Very School Gyrls Holla-Day,A Very School Gyrls Holla-Day
when did the big earthquake hit san francisco?,1906 San Francisco earthquake,1906 San Francisco earthquake
who was king george vi married to?,Queen Elizabeth The Queen Mother,Queen Elizabeth The Queen Mother
where was jesus after he died on the cross?,Church of the Holy Sepulchre,Church of the Holy Sepulchre
who is sir james dyson?,Designer,Designer
who voiced darth vader in the original star wars movies?,David Prowse,James Earl Jones
what high school did maya angelou go to?,George Washington High School,George Washington High School
what 5 countries border switzerland?,Trentino-Alto Adige/South Tyrol,Trentino-Alto Adige/South Tyrol
what country did benito mussolini govern?,Italy,Italy
where did mubarak get his wealth?,Politician,Politician
who was the leader of the first communist party of china?,Chen Duxiu,Chen Duxiu
what did miles davis died of?,Pneumonia,Pneumonia
what is the zip code for azle texas?,76098,76098
what date did sally pearson won gold?,2008 Summer Olympics,2008 Summer Olympics
when did the detroit pistons last win the championship?,1990 NBA Finals,2004 NBA Finals
when did the philadelphia flyers win the cup?,1974 Stanley Cup Finals,1974 Stanley Cup Finals
who is number 22 for the dallas cowboys?,Felix Jones,Felix Jones
what county is st paul nc in?,Robeson County,Robeson County
where is olympic national park wa?,Washington,Jefferson County
where did nat turner 1831 rebellion occur?,Virginia,Virginia
who would play luke skywalker?,Mark Hamill,Mark Hamill
who won the presidential election in egypt 2012?,Hosni Mubarak,Hosni Mubarak
where turkish people originate?,Turkey,Turkey
what state is barack obama from?,Illinois State Senator,Hawaii
what years did joe montana win super bowl?,Notre Dame Fighting Irish football,Super Bowl XIX
who should the minnesota vikings draft?,Harrison Smith,Harrison Smith
what percent of americans have college degree?,Why Race Mattered in Barack Obama's Re-election,Why Race Mattered in Barack Obama's Re-election
what awards gary paulsen won?,Spur Award for Best Juvenile Fiction,Spur Award for Best Juvenile Fiction
what caused the cuban rebellion in 1868?,Ten Years' War,Ten Years' War
where did alexander graham bell die?,"Beinn Bhreagh, Nova Scotia","Beinn Bhreagh, Nova Scotia"
what year did the golden state warriors win their first nba championship?,1975 NBA Finals,1975 NBA Finals
what currency should i take to turkey?,Turkish lira,Turkish lira
what type of government did mexico have?,Federal republic,Federal republic
what countries are in the uk yahoo?,Wales,Scotland
what superbowl did the baltimore ravens win?,Super Bowl XLVII,Super Bowl XXXV
what is the language of russia s spoken?,Yiddish Language,Yiddish Language
who played lauren reed on alias?,Melissa George,Melissa George
who is the king of cambodia now?,Norodom Sihamoni,Norodom Sihamoni
who are serena williams parents?,Richard Williams,Richard Williams
what schools did sir isaac newton go to?,"The King's School, Grantham","The King's School, Grantham"
what was the cause of death for huell howser?,Prostate cancer,Prostate cancer
what books are written by suzanne collins?,Gregor and the Prophecy of Bane,Gregor and the Prophecy of Bane
what countries does england border?,Scotland,Scotland
what team did messi play for in 2010?,Argentina national football team,Argentina national football team
what time zone is greensburg indiana?,North American Eastern Time Zone,North American Eastern Time Zone
what fma stands for?,FullMetal Alchemist,FullMetal Alchemist
who plays voldemort?,Richard Bremmer,Richard Bremmer
what colleges did harper lee attend?,Huntingdon College,Huntingdon College
who founded the kkk?,Albert Pike,Albert Pike
what is the university of georgia known for?,Georgia Bulldogs basketball,Georgia Bulldogs basketball
what jobs did john adams have before he was president?,Massachusetts,Vice President of the United States
what year did super mario bros 2 come out?,Zilog Z80,Zilog Z80
what political party did andrew johnson belong to?,Democratic Party,Democratic Party
where did joseph's family live?,Boston,Canaan
where was osama bin laden killed?,Abbottabad,Abbottabad
where were greek temples built?,Europe,Europe
where are people who speak arabic from?,Saudi Arabia,Bahrain
who was queen elizabeth ii mom?,Queen Elizabeth The Queen Mother,Queen Elizabeth The Queen Mother
what type of art did pablo picasso paint?,Cubism,Cubism
who did ricky martin started his career with?,Menudo,Menudo
what is ella fitzgerald parents name?,William Fitzgerald,William Fitzgerald
who is anne hathaway parents?,Gerald Hathaway,Gerald Hathaway
who does don draper gets engaged to?,Betty Draper,Betty Draper
what was van halen first album?,Van Halen,Van Halen
what political system did spain have?,Constitutional monarchy,Parliamentary system
what led to the split of the republican party in 1912?,Zachariah Chandler,Zachariah Chandler
what to see in toronto top 10?,Edwards Gardens,Edwards Gardens
what are the supreme court cases?,Hayburn's Case,Hayburn's Case
what is penn state's main campus?,University Park,University Park
when is the rainy season in bangkok thailand?,September,September
where did the israel palestine conflict start?,1936–39 Arab revolt in Palestine,1936–39 Arab revolt in Palestine
what country does alaska belong to?,Wildest Alaska,United States of America
where is kansas city?,Kansas City,Platte County
what was pink floyd's first album?,The Piper at the Gates of Dawn,The Piper at the Gates of Dawn
who did granville t. woods married?,Loretta Woods,Loretta Woods
what type of government did thomas jefferson prefer?,Virginia,Unitarianism
what language did the sioux indians speak?,Sioux language,Sioux language
what are some famous people from el salvador?,William Torres Alegria,William Torres Alegria
who did brett gardner play for in 2008?,New York Yankees,New York Yankees
who plays dwight in the office?,Rainn Wilson,Rainn Wilson
who plays riley on buffy the vampire slayer?,Marc Blucas,Marc Blucas
what county is san diego ca?,San Diego County,San Diego County
who is the miami dolphins quarterback?,Reshad Jones,Pat Devlin
where did the yoruba originated from?,African people,African people
where did anne frank go to school?,Montessori Lyceum Amsterdam,Montessori Lyceum Amsterdam
what basketball player is married to monica?,Shannon Brown,Shannon Brown
what did hitler use to kill himself?,Gunshot,Gunshot
