在生物学中钩吻属属于哪个界？	钩吻属	界	动物界	钩吻
七彩虹igame560ti 烈焰战神x-air d5 1024m显存是多大啊？	七彩虹igame560ti 烈焰战神x-air d5 1024m	显存容量	1024mb gddr5	七彩虹igame560ti烈焰战神x-aird51024m
honeywell hsdn-251ps的成像是什么颜色啊？	honeywell hsdn-251ps	成像色彩	彩色	honeywellhsdn-251ps
epic 7的应用开发是什么啊？	epic 7	应用开发	milkstone studios s.l.	epic7
zyxel zyair g-5100的网络接口是多少啊？	zyxel zyair g-5100	网络接口	rj45	zyxelzyairg-5100
你知道布里斯托尔城2011年至2012年球季的首席射手是谁啊？	布里斯托尔城2011年至2012年球季	首席射手	联赛： 乔纳森·斯特德 （jonathan stead，9球） 所有赛事： 乔纳森·斯特德 （jonathan stead，9球）	布里斯托尔城
你知道intel d945gsejt的内存类型是什么吗？	intel d945gsejt	内存类型	ddr2	inteld945gsejt
2012款凯美瑞200g经典被是什么？	2012款凯美瑞 200g 经典版	款型	2012	2012款凯美瑞200g经
我想知道夕阳西沉的时间是否连载？	夕阳西沉的时间	连载期间	连载中。	夕阳西沉
你知道我的中国梦 最美中国是谁主办的吗？	我的中国梦 最美中国	主办机构	易班网、湖南教育电视台	我的中国梦最美中国
你知道清华同方超扬 a3240-b005的cpu频率是多少吗？	清华同方超扬 a3240-b005	cpu 频率	2.9ghz	清华同方超扬a3240-b005
你知道三星 i916上市年吗？	三星 i916	上市年份	2010年	三星i916
你知道mobo task killer pro是什么时候发布的吗？	mobo task killer pro	发布时间	2011-10-22	mobotaskkillerpro
超级都市发眼这个文章多长啊？	超级都市法眼	全文长度	777296字	超级都市
你知道徕卡duovid 10+15x50的放大倍率是多大啊？	徕卡duovid 10+15x50	放大倍率	10-15	徕卡duovid10+15x50
佳能ef 50mm f/1.8 ii的镜头卡口是什么啊？	佳能ef 50mm f/1.8 ii	镜头卡口	佳能ef卡口	佳能ef50mmf/1.8ii
koyo 23064rk+h3064轴承的内径是多少啊？	koyo 23064rk+h3064轴承	d(内径)	300mm	koyo23064rk+h3064轴承
dissipation factor的意思是什么啊？	dissipation factor	词意	电解电容的无用功率与有用功率比	dissipationfactor
明基joybook s46-xc10的最大内存的？	明基joybook s46-xc10	最大支持内存	8gb	明基joybooks46-xc10
你知道nachi 120kbe031轴承的半径是多大？	nachi 120kbe031轴承	b	78 mm	nachi120kbe031轴承
你知道英国第一位首相是谁吗？	英国首相	首任	罗伯特·沃波尔 兼任 第一财政大臣及 de facto 第一任首相	英国
lg bh12ls38的接口类型是什么？	lg bh12ls38	接口类型	sata	lgbh12ls38
zte中兴 s191的外壳颜色是什么色？	zte中兴 s191	外壳颜色	橙灰色	zte中兴s191
天翱 s435-a的产品机型是什么？	天翱 s435-a	产品机型	机架式	天翱s435-a
fag 6311-2rsr轴承的外径有多少？	fag 6311-2rsr轴承	外径	120mm	fag6311-2rsr轴承
明基 ms5001的投影亮度是多少？	明基 ms5001	投影亮度	2500流明	明基ms5001
巴可lamp elm 10/12 series 3kw的其他性能用于什么产品？	巴可lamp elm 10/12 series 3kw	其他性能	barco专用灯泡	巴可lampelm10/12series3kw
ngc 1181的历元是什么？	ngc 1181	历元	j2000.0	ngc1181
明基joybook s46-xc10的硬盘转速是多少？	明基joybook s46-xc10	硬盘转速	5400rpm	明基joybooks46-xc10
华为 u8825d高仿三星gs3风格ui的rom作者是谁？	华为 u8825d高仿三星gs3风格ui	rom作者	蓝枫丶鹏	华为u8825d高仿三星gs3风格ui
slightly mad studios2014年有什么计划?	slightly mad studios	2014	赛车计划	slightlymadstudios
科视christie d4k35的标称光亮度是多少？	科视christie d4k35	标称光亮度	35000	科视christied4k35
爱国者存储王hd806 1.5tb的其他特点是什么？	爱国者存储王hd806 1.5tb	其他特点	指示灯	爱国者存储王hd8061.5tb
酷比 e66的存储卡是什么？	酷比 e66	存储卡	microsd (transflash)	酷比e66
你知道正睿 i21s2-8684hv xeon e5-2650的标准内存容量是多少吗？	正睿 i21s2-8684hv xeon e5-2650	标准内存容量	16gb	正睿i21s2-8684hvxeone5-2650
holga 120 cfn的镜头用的是什么类型的镜头？	holga 120 cfn	镜头	光学镜头，f/8 60mm	holga120cfn
你知道索尼nwz-a 844支持什么功能吗？	索尼nwz-a844（8gb）	fm功能	支持	索尼nwz-a844
大富翁3-天空之城v1使用什么样的游戏环境啊？	大富翁3-天空之城v1.0.2	游戏环境	android 1.5+	大富翁3-天空之城v1
种啥得啥什么时候播出啊？	种啥得啥	首播	2004年6月 cctv8	种啥得
pilot ace的运行时间是什么时候啊？	pilot ace	运行时间	1950年5月	pilotace
acorid easyconnect ec218长什么样子啊？尺寸？	acorid easyconnect ec218	外观尺寸	43*440*250mm	acorideasyconnectec218
你知道委内瑞拉为什么独立的吗？	委内瑞拉独立日	起源事件	1811年7月5日宣布独立	委内瑞拉
华为c7188的外形是什么颜色啊？	华为 c7188	外形颜色	银灰	华为c7188
我想知道凤仪亭被叫做什么啊？	凤仪亭址	称为	韶山八景之二	凤仪亭
我想知道神舟精盾 k480a-i3d2的三级缓存是什么啊？	神舟精盾 k480a-i3d2	三级缓存	3072	神舟精盾k480a-i3d2
我想知道iwi galil ace突击步枪有几个枪管啊？	iwi galil ace突击步枪	枪管	1根，枪口装上消焰器（英语：flash suppressor）   5.56×45毫米北约口径：标准膛线缠距为1：7，膛线6条，右旋[4][7]7.62×39毫米苏联口径：标准膛线缠距为1：9.5，膛线4条，右旋[5]7.62×51毫米北约口径：标准膛线缠距为1：12，膛线4条，右旋[6]	iwigalilace突击步枪
我想知道值班药房的故事imdb是什么啊？	值班药房的故事	imdb链接	tt0098794	值班药房
我很好奇skf 2*7230bcbm轴承的厚度是多好啊？	skf 2*7230bcbm轴承	厚度	90mm	skf2*7230bcbm轴承
我很好奇nexus 7 的像素？	nexus 7	相机	120万像素 (前置)	nexus7
我很好奇skf 2205k+h305 轴承的外径是多少？	skf 2205k+h305 轴承	外径 d (mm)	52	skf2205k+h305轴承
你知道谷客6846摄像头是几位的色彩啊？	谷客6846摄像头	色彩位数	24位	谷客6846
你知道三星galaxy ace的连接能力好吗？	三星galaxy ace	连接能力	3.5 mm jack bluetooth v2.1 (v3 in s5830i) with a2dp dlna stereo fm radio with rds micro-usb 2.0 wi-fi 802.11 b/g/n	三星galaxyace
你知道伊赛斯wrath 雷霆的产品是多啊的电阻啊？	伊赛斯wrath 雷霆	产品阻抗	32欧姆	伊赛斯wrath雷霆
netgear jfs524的接口是什么啊？	netgear jfs524	接口介质	双绞线	netgearjfs524
安吉尔t902t 净水器的水箱容积式多少？	安吉尔t902t 净水器	水箱容积	15l	安吉尔t902t净水器
babes in toyland的鼓手是谁?	babes in toyland	鼓手	劳丽·巴勃罗	babesintoyland
高尔夫 1.6 手动舒适型的长度是多少？	高尔夫 1.6 手动舒适型	长度(mm)	4199	高尔夫1.6手动舒适型
etwotouch 19英寸红外屏触摸显示器的输入接口是什么？	etwotouch 19英寸红外屏触摸显示器	输入接口	d-sub 15-pin	etwotouch19英寸红外屏触摸显示器
dell poweredge 830的硬盘类型是什么？	dell poweredge 830	硬盘类型	sata	dellpoweredge830
大安大王庙的古建筑群的相关记载出自哪里？	大安大王庙古建筑群	相关记载	《平南县志》	大安大王庙
fag 23188k.mb+ahx3188g 轴承的新型号是什么？	fag 23188k.mb+ahx3188g 轴承	新 型 号	23188k.mb+ahx3188g	fag23188k.mb+ahx3188g轴承
tcl ng3516的gps芯片是什么？	tcl ng3516	gps芯片	centrality atlas ii [1]	tclng3516
argox ame-3230b的打印宽度为多少？	argox ame-3230b	打印宽度	76	argoxame-3230b
duel savior的角色名可以设置吗？	duel savior	角色名设置	不可	duelsavior
富士mx-2700 zoom的最大像素是多少？	富士mx-2700 zoom	最大像素数	230万	富士mx-2700zoom
project glass的型式是什么样的?	project glass	型式	头戴式显示器、可穿戴式电脑	projectglass
王尼玛的世界的点击量有多少？	王尼玛的世界	点击	9904	王尼玛的
龙洞造像有多深？	龙洞造像	深	约500米	龙洞
intel pwla8490xf的网线接口类型是多少？	intel pwla8490xf	网线接口类型	rj-45	intelpwla8490xf
ati radeon hd 5550的芯片厂房是哪？	ati radeon hd 5550	芯片厂方	amd-ati	atiradeonhd5550
pcchips a13g(v1.0)的音频芯片是什么？	pcchips a13g(v1.0)	音频芯片	集成realtek alc660音效芯片	pcchipsa13g(v1.0)
代理国家金库的责任有哪些？	代理国家金库	责任	出纳、保管、和划拨	国家金库
亿莱科特ehp-608 mini的输出分辨率是多少？	亿莱科特ehp-608 mini	输出分辨率	1080p	亿莱科特ehp-608mini
any time的歌手是谁？	any time	歌手姓名	阿里郎	anytime
电气绝缘结构（eis） 热分级的标准状态是什么？	电气绝缘结构（eis） 热分级	标准状态	现行	电气绝缘结构（eis）热分级
哈兹米和他的翻译的统筹是谁？	哈兹米和他的翻译	统筹	陈正明	哈兹米和他
爱国者手机小u l8230(4gb)的兼容操作系统是哪些？	爱国者手机小u l8230(4gb)	兼容操作系统	windows me/2000/xp	爱国者手机小ul8230(4gb)
奥林巴斯 fe220d的机身类型啊？	奥林巴斯 fe220d	机身类型	入门级卡片相机	奥林巴斯fe220d
黄色储藏室逃脱 的难度？	黄色储藏室逃脱	游戏难度	普通	黄色储藏室
你知道惠普 color laserjet cp2025(cb493a)的内存吗？	惠普 color laserjet cp2025(cb493a)	标配内存	128m	惠普colorlaserjetcp2025(cb493a)
shopex 网上商城系统 的使用行业？	shopex 网上商城系统	适用行业	该产品适用于大多数行业	shopex网上商城系统
polycom soundpoint ip335的线路是什么啊？	polycom soundpoint ip335	线路	最多支持2线	polycomsoundpointip335
你知道真 · 辉煌之祈愿护肩的附加类型是什么啊？	真 · 辉煌之祈愿护肩	附加类型	封装	真·辉煌之祈愿护肩
reton kvm-1701d的储存温度是多少啊？	reton kvm-1701d	存储温度	-20-60	retonkvm-1701d
2013款途安 1.4t 手动舒适版5座是什么级别啊？	2013款途安 1.4t 手动舒适版5座	级别属性	mpv	2013款途安1.4t手动舒适版5座
你知道oh father收入在什么里啊？	oh father	收录	专辑《oh my god! 》	ohfather
你知道嘉傲特仕-进阶 323at的工作高度吗？	精嘉傲特仕-进阶 323at	最高工作高度	1800mm	嘉傲特仕-进阶323at
force control有什么重要成果？	force control	成果	大功率变速器的离合器	forcecontrol
佳能imageprograf ipf9000s这款打印机的类型是什么？	佳能imageprograf ipf9000s	打印机类型	商用打印机	佳能imageprografipf9000s
捷波x-blue p43d3它的主板总线是什么？	捷波x-blue p43d3	主板总线	1333	捷波x-bluep43d3
b15 b22量规符合什么样子的标准？	b15 b22量规	符合标准	gb 1483.1-2008	b15b22量规
raynol fr-300 的化学名称是什么？	raynol fr-300	化学名称	氯代烷基磷酸酯	raynolfr-300
你知道融雪型雨雪量计需要多少电嘛？	融雪型雨雪量计	供电	220v,1a	融雪型雨雪
你知道蓝晨bm-223 2gb在电子书阅览方面是什么样子的吗？	蓝晨bm-223 2gb	电子书阅览	支持	蓝晨bm-2232gb
dsnny dsn-dvr8016h他的视频输入是什么？	dsnny dsn-dvr8016h	视频输入	16路bnc	dsnnydsn-dvr8016h
你知道合作静安四十年的顾问有谁吗？	合作静安四十年	顾问	戚雅仙、毕春芳、王金勃	静安四十年
nachi 7005ac轴承的厚度大概是是多少？	nachi 7005ac 轴承	厚度 b (mm)	12	nachi7005ac轴承
tp-link td-89402增强型的支持协议是什么？	tp-link td-89402增强型	支持协议	itu g992.1a	tp-linktd-89402增强型
你知道但愿婚前我知道 12件预备婚姻的大事使用的是什么语言吗？	但愿婚前我知道 12件预备婚姻的大事	语言	简体中文	但愿婚前我知道12件预备婚姻的大事
你知道创亿bx-3的适用机型是什么系列吗？	创亿 bx-3	适用机型	canon系列	创亿bx-3
三星r439-ds01核心类型是什么？	三星 r439-ds01	核心类型	arrandale	三星r439-ds01
你知道乱舞黑暗降临 v1.0正式版的地图正式版本是哪种版本吗？	乱舞黑暗降临 v1.0正式版	地图版本	v1.0正式版	乱舞黑暗降临v1.0正式版
三星sgh-e398配置的标准是什么呢？	三星 sgh-e398	标准配置	锂电池，充电器	三星sgh-e398
什么时候叶秀蕃去世下葬的？	叶秀蕃墓	葬于	1966年	叶秀蕃
chrissy costanza最喜欢哪些动物？	chrissy costanza	最喜欢的动物	lion和自家的fluffy、sammy	chrissycostanza
有人知道奔驰ml级2012款 ml300这款车的生产状态是什么吗？	奔驰ml级2012款 ml300	生产状态	在产	奔驰ml级2012款ml300
钓鱼岛及其附属岛屿是谁的啊？	钓鱼岛及其附属岛屿	中华人民共和国	中华人民共和国	钓鱼岛
你知道恩微gt240上将版 1gb的显存速度是什么吗？	恩微gt240上将版 1gb	显存速度	1.2ns	恩微gt240上将版1gb
你知道canhigher nc608的最大内存是多少啊？	canhigher nc608	最大内存容量	8mb	canhighernc608
你知道金亿2gb ddr2 800（笔记本）的内存主频多少吗？	金亿2gb ddr2 800（笔记本）	内存主频	800mhz	金亿2gbddr2800（笔记本）
jbl soundsticks iii wireless的供电方式是什么啊？	jbl soundsticks iii wireless	供电方式	电源：220v/50hz	jblsoundsticksiiiwireless
你知道竹茎兰属它的属拼音名是什么么？	竹茎兰属	属拼音名	zhujinglanshu	竹茎兰
环保黄铜棒的伸长率大概是多少？	c3604环保黄铜棒	伸长率	≥12	环保黄铜棒
福尔摩斯探案全集的装帧方式是什么？	福尔摩斯探案全集	装帧	精版	福尔摩斯探案
nsk f634轴承是什么型号的？	nsk f634轴承	型号	f634轴承带法兰深沟球轴承	nskf634轴承
优派pad vb100a（8gb）的屏幕尺寸是多大？	优派pad vb100a（8gb）	屏幕尺寸	10.1英寸	优派padvb100a（8gb）
let it go是什么语言的歌曲？	let it go	歌曲语言	中文	letitgo
诺基亚asha 308的尺寸是多少？	诺基亚asha 308	尺寸	3英寸触摸屏	诺基亚asha308
同方锋锐 k469-i3522b05的内存是多大的？	同方锋锐 k469-i3522b05	内存容量	2gb	同方锋锐k469-i3522b05
ipad mini大概有多重？	ipad mini	重量	312g	ipadmini
广颖电通esata/mini usb ssd(16gb)的存储容量是多少？	广颖电通esata/mini usb ssd(16gb)	存储容量	16gb	广颖电通esata/miniusbssd(16gb)
timken rae20rrb轴承的内径是多大？	timken rae20rrb轴承	内径	20 mm	timkenrae20rrb轴承
我是谁专辑里有哪些歌手？	我是谁	专辑歌手	周华健 ，成龙	我
清华同方超锐 v280-05的cpu是多大？	清华同方超锐 v280-05	cpu型号	12.1英寸	清华同方超锐v280-05
东芝 m856的产品定位是什么？	东芝 m856	产品定位	家用	东芝m856
惠普compaq 6520s(gy686pa)的cpu主频是什么型号？	惠普compaq 6520s(gy686pa)	cpu主频	intel 酷睿2双核 t5470	惠普compaq6520s(gy686pa)
祺祥hd6850 飙客ii 2gd5 m04是哪个厂家制造的？	祺祥hd6850 飙客ii 2gd5 m04	芯片厂商	nvidia	祺祥hd6850飙客ii2gd5m04
你知道华为ascend p6的分辨率是多少吗？	华为ascend p6	分辨率	720p(1080*720)	华为ascendp6
微星n650 power edition用的什么显卡？	微星n650 power edition	显卡芯片	geforce gtx 650	微星n650poweredition
qlogic sanbox 3050光纤通道交换机的接口是什么类型？	qlogic sanbox 3050光纤通道交换机	接口类型	f_port,fl_port,e_p	qlogicsanbox3050光纤通道交换机
koyo 29240轴承的外径是多大？	koyo 29240轴承	外径	280mm	koyo29240轴承
映泰m7ncd ultra是什么样的cpu插槽？	映泰m7ncd ultra	cpu插槽	socket a	映泰m7ncdultra
惠普 compaq presario cq40-507a的处理器是什么型号？	惠普 compaq presario cq40-507au	处理器型号	amd 双核速龙64 ql-65处理器	惠普compaqpresariocq40-507a
nikon d7100使用详解是什么语言的？	nikon d7100使用详解	语种	简体中文	nikond7100
给我大概讲一下什么叫叫牌体系？	叫牌体系	概述	桥牌的叫牌法（叫牌体系	牌体系
dtk prm-13i的内存类型是什么？	dtk prm-13i	内存类型	最高可扩充至512mb	dtkprm-13i
惠普 g6-2116tx(b8m57pa)的硬盘容量多大？	惠普 g6-2116tx(b8m57pa)	硬盘容量	500gb	惠普g6-2116tx(b8m57pa)
skf 6064m轴承有多厚？	skf 6064m轴承	厚度	74mm	skf6064m轴承
三星galaxy express是在什么时候发布的？	三星galaxy express	发布日期	2013年3月（19个月前）	三星galaxyexpress
steelseries xai 十周年鼠标适用于什么？	steelseries xai 十周年鼠标	适用类型	竞技游戏，经济实用	steelseriesxai十周年鼠标
华为e580的网络是什么模式？	华为e5805	网络模式	双模	华为e580
映泰m7ncd ultra的cpu类型是什么？	映泰m7ncd ultra	cpu类型	a-xp/athlon/duron	映泰m7ncdultra
东芝satellite pro l630-10l使用的什么处理器？	东芝satellite pro l630-10l	处理器	intel奔腾双核p6000	东芝satelliteprol630-10l
魔界王子 devils and realist是谁写的？	魔界王子 devils and realist	原作	高殿円	魔界王子devilsandrealist
诺基亚 e63是在什么时候上市的？	诺基亚 e63	上市日期	:2008年11月	诺基亚e63
pismis 24-1的亮度是多少？	pismis 24-1	亮度	4,200,000 l☉	pismis24-1
刘心武中篇小说出版过几次？	刘心武中篇小说	版 次	1	刘心武
skf na4834轴承属于哪个品牌？	skf na4834轴承	品牌	skf	skfna4834轴承
清华同方超扬 f360-b001的cpu频率是多大？	清华同方超扬 f360-b001	cpu频率	：1600mhz	清华同方超扬f360-b001
州都是什么意思？	州都	意思	古代官名	州
nexus 7需要用到什么电源？	nexus 7	电源	可充电锂聚合电池, 4325 mah16wh li-polymer, microusb 充电接口	nexus7
nsk 7213c轴承是什么型号的？	nsk 7213c轴承	轴承型号	7213c轴承	nsk7213c轴承
i.tech myvoice 307用的什么类型的电池？	i.tech myvoice 307	电池类型	锂电池	i.techmyvoice307
nsk 7206c轴承来自于哪个系列？	nsk 7206c轴承	轴承系列	角接触球轴承	nsk7206c轴承
爱普生 1100的最高分辨率是多少？	爱普生 1100	最高分辨率	5760x1440dpi	爱普生1100
intel s2600cp2里用的什么芯片？	intel s2600cp2	集成芯片	显卡/网卡/声卡	intels2600cp2
nsk f635/f635zz1/vv/dd轴承是什么牌子的？	nsk f635/f635zz1/vv/dd轴承	轴承品牌	nsk轴承	nskf635/f635zz1/vv/dd轴承
2012款mg5 1.5l自动领航版的生产厂家是哪家？	2012款mg5 1.5l自动领航版	生产厂家	mg	2012款mg51.5l自动领航版
戴尔inspiron one 灵越 2020（i2020d-278）的cpu是哪个型号？	戴尔inspiron one 灵越 2020（i2020d-278）	cpu 型号	intel 酷睿 i3 2120t	戴尔inspironone灵越2020（i2020d-278）
提前录取的学校有哪些？	提前录取	学校	解放军院校，武警院校	提前
android studio属于哪种软件授权？	android studio	软件授权	免费专业版	androidstudio
koyo 51234轴承的d(内径)是多少？	koyo 51234轴承	d(内径)	170mm	koyo51234轴承
oapro sanbus 2342的产品类型是？	oapro sanbus 2342	产品类型	hba光纤通道卡	oaprosanbus2342
koyo nu1012轴承的外径是多少毫米？	koyo nu1012轴承	od(外径)	95mm	koyonu1012轴承
skf mb12轴承属于什么系列？	skf mb12轴承	系列	mb(l)锁定垫圈	skfmb12轴承
使你佳283水簇鱼缸专用胶的颜色是什么？	使你佳283水簇鱼缸专用胶	颜色	透明及用户要求的其它颜色。	使你佳283水簇鱼缸
索泰gtx560ti 1gd5 毁灭者的核心频率是多少？	索泰gtx560ti 1gd5 毁灭者	核心频率	850mhz	索泰gtx560ti1gd5毁灭者
请问mala ml168-1800的电池容量是多少？	mala ml168-1800	电池容量	1700mah	malaml168-1800
visual foxpro与sql数据库应用基础教程的印次是什么？	visual foxpro与sql数据库应用基础教程	印次	1-2	visualfoxpro与sql数据库应用基础教程
你知道铭驰gt430 1024mb-gddr3 捍卫者的显存位宽是多少吗？	铭驰gt430 1024mb-gddr3 捍卫者	显存位宽	128bit	铭驰gt4301024mb-gddr3捍卫者
你知道lg dx325的对比度是多少吗？	lg dx325	对比度	2200:1	lgdx325
htc hero的网络制式是什么？	htc hero	网络制式	wcdma hsdpa	htchero
有谁知道斯普莱sma female/n male adapte（转接头）的工作温度是多少？	斯普莱sma female/n male adapte（转接头）	工作温度	0-40℃	斯普莱smafemale/nmaleadapte（转接头）
你知道罗技1000无限天貂的接口是什么类型吗？	罗技1000无限天貂鼠标	鼠标接口	usb+ps/2	罗技1000无限天貂
谁能告诉我一下fag 7603040-tvp轴承的型号吗？	fag 7603040-tvp轴承	型号	7603040-tvp	fag7603040-tvp轴承
金鹏 a7988的手机制式是什么？	金鹏 a7988	手机制式	gsm	金鹏a7988
请问一下诺基亚 6275的频率是多少？	诺基亚 6275	频率	800mhz	诺基亚6275
comic sans是由谁设计的？	comic sans	设计师	文生·康奈尔	comicsans
in win h-frame中3.5英寸的仓位有几个？	in win h-frame	3.5英寸仓位	3个	inwinh-frame
请问google chrome的稳定版本是什么？	google chrome	稳定版本	40.0.2214.111（2015年2月5日，2天前）[±][1] 移动版本： android 40.0.2214.109（2015年2月4日，3天前）[±][2] ios  40.0.2214.61（2015年1月20日，18天前）[±][3]	googlechrome
你可以告诉我虎门销烟的时间吗？	虎门销烟	时间	清朝道光年间	虎门
vietnam rust是什么底色？	vietnam rust	底色	黄色 | yellow	vietnamrust
2013款传祺ga5 2.0l自动精英版属于什么级别的汽车？	2013款传祺ga5 2.0l自动精英版	汽车级别	中型	2013款传祺ga52.0l自动精英版
谁知道.308 winchester的生产公司吗？	.308 winchester	生产历史	温彻斯特公司	.308winchester
鬼眼狂刀 - 京的制作发行是哪个公司？	鬼眼狂刀 - 京	制作发行	mmv	鬼眼狂刀-京
你知道pine green的岩性有哪些吗？	pine green	岩性	中国产花岗岩 | china's granite	pinegreen
vbel vb-3100m的电源电压是多少？	vbel vb-3100m	电源电压	100-240v	vbelvb-3100m
大家清楚徕卡duovid 10+15x50的工作原理吗？	徕卡duovid 10+15x50	工作原理	折射式	徕卡duovid10+15x50
斯狄渢 a8se+的安装方式是什么？	斯狄渢 a8se+	安装方式	挂式	斯狄渢a8se+
肯高72mm 无镀膜uv镜的主要功能又叫什么？	肯高72mm 无镀膜uv镜	主要功能	：又叫紫外线滤光镜	肯高72mm无镀膜uv镜
张爱玲典藏全集的尺寸是多少？	张爱玲典藏全集	商品尺寸	22.2x20.1x15.5cm	张爱玲
金鹏 v0009重多少克？	金鹏 v0009	手机重量	110g	金鹏v0009
三星galaxy note4的屏幕是什么类型？	三星galaxy note4	屏幕类型	oled（发光二极管）	三星galaxynote4
三星galaxy s4 zoom 的cpu是什么？	三星galaxy s4 zoom	cpu	双核1.5ghz	三星galaxys4zoom
这样算是僵尸吗？是由谁作画的？	这样算是僵尸吗？	作画	さっち	这样算是僵尸吗
lg 23ea53j的面板类型是什么？	lg 23ea53j	面板类型	ips	lg23ea53j
你知道瑞士ac f8 tc的散热方式吗？	瑞士ac f8 tc	散热方式	风冷	瑞士acf8tc
金鹏 s1878支持什么频段？	金鹏 s1878	支持频段	gsm 900/1800	金鹏s1878
你能说出ug nv5中文版模具设计应用实例的商品重量吗？	ug nv5中文版模具设计应用实例	商品重量	699 g	ugnv5中文版模具设计应用实例
你可以告诉我摩托罗拉 milestone3（里程碑3）的颜色吗？	摩托罗拉 milestone3（里程碑3）	机身颜色	黑色	摩托罗拉milestone3（里程碑3）
面向制造与装配的设计有哪些内容？	面向制造与装配的设计	主要内容	设计简单化、标准化等	面向制造与装配
tcl xpb65-9008s的洗涤容量是多少？	tcl xpb65-9008s	洗涤容量	6.5公斤	tclxpb65-9008s
smc webt-g的数据传输率是多少?	smc webt-g	数据传输率	smc 108g y 1/2/5.5/6/	smcwebt-g
恩奇都属于什么地区？	恩奇都	地域	两河流域	恩奇
真 · 响尾蛇的诱惑战靴适用于哪些职业？	真 · 响尾蛇的诱惑战靴	适用职业	所有职业	真·响尾蛇的诱惑战靴
环宇飞扬液晶伯爵h067 绿色的传感器是什么类型？	环宇飞扬液晶伯爵h067 绿色	传感器类型	cmos	环宇飞扬液晶伯爵h067绿色
你知道geforce g 102m的制造工艺吗？	geforce g 102m	制造工艺	65nm	geforceg102m
tt btx-450的电源是什么版本？	tt btx-450	电源版本	atx 12v 2.0版	ttbtx-450
铭鑫视界风g210-512d2tc mini版的显存频率是多少？	铭鑫视界风g210-512d2tc mini版	显存频率	600	铭鑫视界风g210-512d2tcmini版
你能说出wps office的文件大小是多少吗？	wps office	文件大小	42 mb	wpsoffice
barco nw-12的分辨率是多少？	barco nw-12	标准分辨率	1920×1200	barconw-12
intel 酷睿2双核 t7400的插槽是什么类型？	intel 酷睿2双核 t7400	插槽类型	pbga479，ppga478	intel酷睿2双核t7400
请说出贝内利m4 super 90霰弹枪的生产日期？	贝内利m4 super 90霰弹枪	生产日期	1999年－现在	贝内利m4super90霰弹枪
起亚k2 2011款三厢 1.4l at top的是哪个厂商生产的？	起亚k2 2011款三厢 1.4l at top	厂商	东风悦达起亚	起亚k22011款三厢1.4lattop
2012款哈弗h6 2.0t手动四驱绿静柴油精英型是几几年的款？	2012款哈弗h6 2.0t手动四驱绿静柴油精英型	年款	2011	2012款哈弗h62.0t手动四驱绿静柴油精英型
清华同方超扬 a3240-b005是哪种光驱？	清华同方超扬 a3240-b005	光驱类型	dvd刻录机	清华同方超扬a3240-b005
大家知道华为quidway s3928pwr-ei有多少个端口吗？	华为quidway s3928pwr-ei	端口数量	24	华为quidways3928pwr-ei
戴尔vostro 成就 2521（v2521d-1518）的cpu型号是什么？	戴尔vostro 成就 2521（v2521d-1518）	cpu型号	intel 酷睿i5 3337u	戴尔vostro成就2521（v2521d-1518）
请问make my day的曲长是多少?	make my day	曲长	16分32秒	makemyday
imi galil突击步枪的供弹方式是什么？	imi galil突击步枪	供弹方式	5.56×45毫米nato：35、50发弹匣 7.62×51毫米nato：25发弹匣	imigalil突击步枪
timken m12649/m12610轴承的内圈是什么？	timken m12649/m12610轴承	内圈	m12649	timkenm12649/m12610轴承
iko sb559047轴承的直径是多少呀？	iko sb559047轴承	d	55 mm	ikosb559047轴承
请问ax ex850的最大功率是多少？	ax ex850	最大功率	900w	axex850
quanshi qs-6533f有什么功能？	quanshi qs-6533f	产品功能	红外灯	quanshiqs-6533f
你知道ssk飚王spc027 灵致的保修条款吗？	ssk飚王spc027 灵致	保修政策	全国联保，享受三包服务	ssk飚王spc027灵致
妈妈是什么属于什么声音制式？	妈妈是什么	声音制式	立体声（类比电视） 杜比数位（数字电视）	妈妈
请说出miss a的唱片公司是什么？	miss a	唱片公司	jyp entertainment	missa
神舟飞天 a10的系统内存有多少？	神舟飞天 a10	系统内存	2gb	神舟飞天a10
相乘作用用英文怎么写？	相乘作用	英文	multiplying process	相乘作
你知道hp proliant bl460c g7(603259-b21)的标配cpu数量是多少吗？	hp proliant bl460c g7(603259-b21)	标配cpu数量	1颗	hpproliantbl460cg7(603259-b21)
coby dp240(1gb)的显示屏有多大？	coby dp240(1gb)	显示屏	2.4英寸	cobydp240(1gb)
tt esports console one 电视游戏机版的频响范围是什么？	tt esports console one 电视游戏机版	频响范围	20-20000hz	ttesportsconsoleone电视游戏机版
黄土沟的娃是在哪里拍摄的？	黄土沟的娃	拍摄地点	陕西省榆林市	黄土沟的
apc bk1000y-ch的ups类型是什么？	apc bk1000y-ch	ups类型	后备式	apcbk1000y-ch
你知道sig p210手枪的枪管长度吗？	sig p210手枪	枪管长度	120毫米	sigp210手枪
海信 tg95的外观如何？	海信 tg95	外观	直板	海信tg95
brad paisley是由什么乐器演奏的？	brad paisley	乐器	吉他、原声	bradpaisley
geforce g 102m的核心代号是什么？	geforce g 102m	核心代号	mcp79	geforceg102m
the end is near的资源类型是什么？	the end is near	资源类型	：mp3!	theendisnear
请问青之城的圆舞曲的作者是谁？	青之城的圆舞曲	漫画作者	江户屋ぽち	青之城
