有一个叫做疯狂坦克的游戏是什么类型的啊？	疯狂坦克	游戏类型	射击小游戏	叫做疯狂坦克
我很好奇尖沙咀天星码头公共运输交汇处总站附近的交通啊？	尖沙咀天星码头公共运输交汇处	总站附近	梳士巴利道	尖沙咀天星码头公共运输交汇处总站
我很好奇4-正戊基吡啶smiles是什么啊？	4-正戊基吡啶	smiles	cccccc1ccncc1	4-正戊基吡啶smiles
d-link dns-3201 的传输速度是什么啊？	d-link dns-320l	传输速度	10/100/1000mbps	d-linkdns-3201
飚王诱惑 sfd042（2gb）的宽度是多少毫米？	飚王诱惑 sfd042(2gb)	宽度(mm)	12.1	飚王诱惑sfd042（2gb）
“迈阿密"号核潜艇的部队是哪？	“迈阿密”号核潜艇	部队	海军	“迈阿密"号核潜艇
“佛吉尼亚”潜艇的控制装置是什么？	“弗吉尼亚”潜艇	控制装置	计算机控制的自动驾驶装置	“佛吉尼亚”潜艇
花与乙女的祝福的讯息略过的形式是什么？	花与乙女的祝福	讯息略过	全文/已读	花与乙女的祝福的讯息
thinkapad x1的处理器平台是什么？	thinkpad x1	处理器平台	snb(sandybridge)	thinkapadx1
格里芬胡流出到哪？	格里芬湖	流出	glatt	格里芬胡
圣骑仕sm-150的电池类型是什么？	圣奇仕sm-150	电池类型	聚合物锂电池	圣骑仕sm-150
trojan-downloader.win32.zgent.apv.gif的公开范围是多少?	trojan-downloader.win32.agent.qpv.gif	公开范围	完全公开	trojan-downloader.win32.zgent.apv.gif
果子过泰山侧的作者是谁？	孔子过泰山侧	作品作者	孔子	果子过泰山侧
昆明市体育中心游泳馆的开馆时间是什么时候？	昆山市体育中心游泳馆	开馆时间	2012-12-30	昆明市体育中心游泳馆
轮回之翼一羽翼的支持人数有几个？	轮回之章－羽翼	支持人数	6个	轮回之翼一羽翼
小孩脑残该去哪个医院救治？	小孩脑瘫	医院地址	北京市朝阳区世纪东方嘉园212楼3号	小孩脑残
清菜玉佛寺的供奉神是谁？	清莱玉佛寺	供奉神	玉佛	清菜玉佛寺
2014中国大学排行榜上海交通大学排名是多少？	2014中国大学排行榜	第三名	上海交通大学	2014中国大学排行榜上海交通大学
林肯港州选区的人选是谁？	林肯港	州选区	flinders	林肯港州选区
胡安·帕布罗·蒙托亚是哪一年大奖赛的车手？	2002年法国大奖赛	车手	胡安·帕布罗·蒙托亚	胡安·帕布罗·蒙托亚
1987–88年欧洲联盟杯的卫冕球队是什么啊？	1987–88年欧洲联盟杯	卫冕球队	哥登堡（第一圈出局）	1987988年欧洲联盟杯
你知道小周原湖的周长是多少吗？	小川原湖	周长	67.4 km	小周原湖
1889年基督进入布鲁塞尔他的属地在哪？	1889年基督进入布鲁塞尔	属地	伦敦，柯隆内尔·l·弗兰克藏	1889年,基督,布鲁塞尔他
k9461次列车是什么类型的列车啊？	k9461次	列车类型	快车	k9461次列车
兰新高速公路的投资金额是多少？	兰新高速铁路	投资金额	约1700亿元人民币	兰新高速公路
决战坦克这个游戏在什么时候发行的啊？	决战扑克	发行年	1992	决战坦克
西冀厂村的经济来源出于哪里啊？	西冀场村	经济来源	机械加工、电动车生产	西冀厂村
达利亚·斯托寇思他的头发是什么颜色的啊？	达丽雅·斯托寇思	头发颜色	沙金色	达利亚·斯托寇思
谁知道陀螺战士的人物原案是谁？	陀螺戰士	人物原案	水野祥司、青木孝夫	陀螺战士
别克荣御他的交房日期在什么时候？	别克荣御	交房日期	2012-12-31	别克荣御他
厦门市医药研究区他的办公室的结构是什么啊？	厦门市医药研究所	办公室	下设财务室、总务室	厦门市医药研究区
谁清楚在2002年日本大奖赛中的赛事细节有什么啊？	2002年日本大奖赛	赛事细节	2002年世界一级方程式锦标赛共17站中的第17站	在,2002年日本大奖赛
一般是由什么部门管理户口的啊？	户口管理	管理部门	民政部门	一般,户口
有人知道海源地震的时候震中经纬度是多少吗？	海原地震	震中经纬度	北纬36.7度，东经105.7度	海源地震
放松所前站在什么时候成为废站的？	放送所前站	废站年月日	1982年6月10日	放松所前站
你知道布力般流浪2012年至2013年赛季的观众平均有多少吗？	布力般流浪2012年至2013年赛季	平均观众	14,974人	布力般流浪2012,至
你知道台风鸿雁气压最低时大概有多少吗？	台风鸿雁	最低气压	940hpa	台风鸿雁气压
石博瑞是参加了什么战争吗？	石伯瑞	参与	西安事变	石博瑞
你知道到柯美bizhub350的预热时间是多少吗？	柯美bizhub350	预热时间	<24秒	到,柯美bizhub350
你了解上海盛花贸易有限公司的理念吗？	上海胜花贸易有限公司	倡导	自然、健康的生活理念	上海盛花贸易有限公司
你知道在中国古诗文是什么含义吗？	古诗文	含 义	中国古代的诗歌和散文	中国,古诗文
还原大师的对白是哪个国家的语言呢？	还愿大师	对白	英语	还原大师
当年卡考曾经在哪个俱乐部效力啊？	卡考	曾效力俱乐部	纽伦堡	当年卡考
smg公司做什么业务啊？	smg	经营范围	设计、开发、销售针织器材	smg公司
按照分类的话烧卖属于哪种？	烧麦	分类	小吃，面食	按照,类的话烧卖
人们说的贞观是指从哪年到哪年啊？	贞观	时间	1101年-1113年	人们说的贞观
煮八宝黑米粥需要什么食材？	八宝黑米粥	主要食材	百合 莲米	煮八宝黑米粥
实习总结报告的名称应该叫什么？	实习总结	名称	实习总结	实习总结报告
电影《第一次》的对白语言是什么啊？	第一次	对白语言	普通话	电影《第一次》
你听过《因为有你》的歌曲是谁原唱的啊？	因为有你	歌曲原唱	j.p.m组合	《因为有你》
釜山南区的人口密度是多少？	南区	• 密度	4,800/平方公里（12,000/平方英里）	釜山南区
《这样算是僵尸吗？》属于哪个丛书系列的？	这样算是僵尸吗？	丛书	dragon comics age kadokawa comics boy series	《这样算是僵尸吗？》
bfs牛汇公司的口号是什么？	bfs牛汇	公司口号	诚信 开放 透明	bfs牛汇公司
“十年生聚，十年教训”怎么用？	十年生聚，十年教训	用法	作宾语、分句；用于劝诫人	“十年生聚，十年教训”
《对酒》是谁写的？	对酒	作 者	曹操	《对酒》
《命运先生》的评分是多少？	命运先生	评分	5.9/10( 1890票 )	《命运先生》
《我们》的编曲者是谁？	我们	编曲	丁炜	《我们》
《我爱你》这首歌有多长时间？	我爱你	歌曲时长	03:16	《我爱你》
《百万英镑》这本书有多少字？	百万英镑	字数	18000	《百万英镑》
泡椒同学餐厅的人均消费是多少？	泡椒同学	人均价格	67	泡椒同学餐厅
《世界上最伟大的理财课》是哪个出版社出版？	世界上最伟大的理财课	出 版 社	安徽人民出版社	《世界上最伟大的理财课》
《刺客信条》是什么时候出版的？	刺客信条	出版日期	2014-11	《刺客信条》
动画片小智的配音是谁？	小智	配音	竹内顺子	动画片,小智
《痛经与经前期综合征合理用药200问》的平装版是多少页？	痛经与经前期综合征合理用药200问	平装	141页	《痛经与经前期综合征合理用药200问》
《英雄无泪》是一部什么类型的影片？	英雄无泪	类 型	武侠	《英雄无泪》
你知道2011年卡斯特隆伊什的人口数量是多少吗？	卡斯特隆伊什	人口（2001）	363	2011,卡斯特隆伊什
《gravity》的制作人是谁？	gravity	制作人	connie talbot	《gravity》
《爱你，万缕千丝》首播是在什么时间？	爱你，万缕千丝	首播时间	2015年3月29日	《爱你，万缕千丝》
《粉红豹》的imdb是多少？	粉红豹	imdb编码	tt0383216	《粉红豹》
《倩女幽魂》的监制是谁？	倩女幽魂	监制	杨绍鸿	《倩女幽魂》
《我是谁》专辑里包括什么语言？	我是谁	专辑语言	国语，粤语，英语	《我是谁》
《一千零一夜》出自哪个系列丛书？	一千零一夜	丛书名	译文名著精选	《一千零一夜》
《梦幻魔界王》是什么类型的小说？	梦幻魔界王	小说性质	网络小说	《梦幻魔界王》
《剑气凝神》这本书的写作进程怎么样？	剑气凝神	写作进程	连载中	《剑气凝神》
《极品皇帝》现在的状态是什么？	极品皇帝	状态	完结	《极品皇帝》
《逆转裁判5》的内容主题是什么？	逆转裁判5	内容主题	推理、辩论	《逆转裁判5》
《无事生非》的导演是谁？	无事生非	导 演	martin hellberg	《无事生非》
《中国卫生界》什么时候出版一次？	中国卫生界	出版周期	双月刊	《中国卫生界》
《死亡日记》是什么时候上映发行的？	死亡日记	上映及发行	1999年5月19日	《死亡日记》
《第十二夜》由谁主演的？	第十二夜	主 演	frances barber	《第十二夜》
“我爱你”适用于哪些范围？	我爱你	适用范围	情侣表白或至亲表达	“我爱你”
你知道谁拍摄的《呼啸山庄》吗？	呼啸山庄	摄影	claudio chea	《呼啸山庄》
《疯狂的麦克斯》什么时候拍摄的？	疯狂的麦克斯	拍摄日期	1978年	《疯狂的麦克斯》
除此之外汉正街还有什么信息？	汉正街	其他信息	汉正街是汉口历史上最早的中心街道，是万商云集、商品争流之地。	除,汉正街
《我爱你》由谁负责作曲？	我爱你	作曲	苏颜ft默梁	《我爱你》
《倾城女子魅天下》是谁写的小说？	倾城女子魅天下	小说作者	霓裳妖娆	《倾城女子魅天下》
《我的世界》最新版本是多少？	我的世界	最新版本	1.7.10	《我的世界》
你知道谁发布的《中央企业负责人经营业绩考核暂行办法》吗？	中央企业负责人经营业绩考核暂行办法	发布单位	国务院国有资产监督管理委员会	《中央企业负责人经营业绩考核暂行办法》
《翠鴗科》的命名者和年代分别是什么？	翠鴗科	命名者及年代	gr gray，1825	《翠鴗科》
卡哈帕奇历史是从什么时候开始？	卡哈帕奇	历史	西元400年	卡哈帕奇历史
竹园花园小区的位置在哪？	竹园花园	小区地址	惠城区滨江公园旁边	竹园花园小区
《我的另一半》在哪些地方发行？	我的另一半	发行地区	香港，台湾，中国大陆	《我的另一半》
《九日》属于什么体裁？	九日	体裁	七言律诗	《九日》
《棒球英豪》什么时候上映的？	棒球英豪	上映日期	1986年4月12日	《棒球英豪》
《超级偶像》从什么时候开始播出？	超级偶像	播出日期	2015年3月14日－	《超级偶像》
血腥兔闯关操作指南大小是多少？	血腥兔闯关	操作指南	4150k	血腥兔闯关操作指南
《第一次》有多少曲目？	第一次	曲目数量	10	《第一次》
你知道《名侦探柯南：贝克街的亡灵》的票房是多少吗？	名侦探柯南：贝克街的亡灵	票房	33.8亿日元	《名侦探柯南：贝克街的亡灵》
《娘心计》是谁演唱的？	娘心计	演唱者	刘忻	《娘心计》
《奇迹来了》有哪些运营商？	奇迹来了	运营商	9377、91wan、51游戏、8090游戏	《奇迹来了》
《翅膀》是由谁演唱的？	翅膀	演唱者	胡夏	《翅膀》
《懒人听书》现在的软件版本是多少？	懒人听书	软件版本	5.2.4	《懒人听书》
《step by step》是由谁作词的？	step by step	作词	立花瞳	《stepbystep》
《疯狂的水母》的主角是谁？	疯狂的水母	主要角色	水母	《疯狂的水母》
你还记得《哈利·波特与密室》的书号吗？	哈利·波特与密室	书号	isbn 7-02-003344-x	《哈利·波特与密室》
《花木兰》是由哪个制片商制造的？	花木兰	制片商	华特迪士尼动画工作室	《花木兰》
《帝尊》一共完成多少字数？	帝尊	完成字数	6127139	《帝尊》
《twist and shout》是首什么样风格的歌？	twist and shout	风格	merseybeat	《twistandshout》
双飞燕g9-370hx无孔无线鼠标怎么连接？	双飞燕g9-370hx无孔无线鼠标	连接方式	无线	双飞燕g9-370hx,孔
《日语国际能力测试日语2级听解指导与实践》这本书卖多少钱？	日语国际能力测试日语2级听解指导与实践	定价	￥29.80	《日语国际能力测试日语2级听解指导与实践》
软件正版化服务需要遵守什么？	软件正版化	服务	遵守gpl、gnu、lgpl等的开源协议	软件正版化服务
《神雕侠侣》是什么时候播出的？	神雕侠侣	播出时间	2014年 每周三至周四晚22：00	《神雕侠侣》
《减速顶与调速技术》是谁负责编辑的？	减速顶与调速技术	主编	王继廉	《减速顶与调速技术》
《安吉丝的梦境》属于单机分类的哪一种？	安吉丝的梦境	单机分类	单机游戏	《安吉丝的梦境》
《剑桥中国史》在什么地方出版？	剑桥中国史	出版地	中国北京	《剑桥中国史》
《勇者斗恶龙7》是在什么时候发售的？	勇者斗恶龙7	发售日期	2000年（ps）2013年（3ds）[1]	《勇者斗恶龙7》
《勇者传说online》属于其他哪种类别？	勇者传说online	其他类别	2d q版	《勇者传说online》
《像间谍一样思考》定价多少？	像间谍一样思考	定 价	29	《像间谍一样思考》
《魔神英雄传》的音乐是谁负责的？	魔神英雄传	音乐	兼崎顺一、门仓聡	《魔神英雄传》
《firebug》的原作者是谁？	firebug	原作者	joe hewitt	《firebug》
《做巧克力蛋糕》这个游戏如何开始？	做巧克力蛋糕	如何开始	点击[play]开始游戏	《做巧克力蛋糕》
《3d坦克》是在什么时候更新的？	3d坦克	更新日期	2014/03/12	《3d坦克》
《月哭·狐之魅》的统一书号是多少？	月哭·狐之魅	统一书号	10011-518	《月哭·狐之魅》
《木兰花·拟古决绝词柬友》作品的别名是什么？	木兰花·拟古决绝词柬友	作品别名	木兰花令·拟古决绝词、玉楼春·拟古决绝词、木兰词·拟古决绝词柬友	《木兰花·拟古决绝词柬友》
《语文报》是哪个单位编辑的？	语文报	编辑单位	《语文报》社有限责任公司	《语文报》
《广东省人民政府办公厅关于向我省光盘生产厂派驻监督员的通知》在文号是多少？	广东省人民政府办公厅关于向我省光盘生产厂派驻监督员的通知	文号	粤府办〔1995〕103号	《广东省人民政府办公厅关于向我省光盘生产厂派驻监督员的通知》
《高炉炼铁工程管理与施工技术》这本书有多少页？	高炉炼铁工程管理与施工技术	页 数	357 ; 24cm	《高炉炼铁工程管理与施工技术》
《圣枪游侠》这款游戏价格怎么样？	圣枪游侠	价格	国服：点卷4500金币6300	《圣枪游侠》
《侠盗猎车手5》属于哪个系列？	侠盗猎车手5	所属系列	侠盗猎车手	《侠盗猎车手5》
《高铁管家》在哪些平台上线了？	高铁管家	软件平台	ios、android	《高铁管家》
《魔法科高中的劣等生》从什么时候开始连载的？	魔法科高中的劣等生	连载期间	2008年10月12日至今	《魔法科高中的劣等生》
《雷顿教授与超文明a的遗产》属于什么模式的游戏？	雷顿教授与超文明a的遗产	模式	单人游戏	《雷顿教授与超文明a的遗产》
《恶魔之吻》的日文名是什么？	恶魔之吻	日文名	悪魔のくちづけ	《恶魔之吻》
《基于信息系统的网络作战》是多少开本的？	基于信息系统的网络作战	开 本	16开	《基于信息系统的网络作战》
自制豆腐炖鱼的难度怎么样？	自制豆腐炖鱼	制作难度	一般	自,豆腐炖鱼
《如何让你爱的人爱上你》有多少字数？	如何让你爱的人爱上你	字 数	170000	《如何让你爱的人爱上你》
《谁的顶戴花翎》是哪种类型的作品？	谁的顶戴花翎	作品类型	长篇小说	《谁的顶戴花翎》
《我们约会吧+》是哪个地区发行的？	我们约会吧+	国家/地区	中国	《我们约会吧+》
《毛泽东思想论坛》主要有哪些栏目？	毛泽东思想论坛	主要栏目	中国特色社会主义理论研究、改革开放、风云透视、基层干群论坛	《毛泽东思想论坛》
我很好奇《凉宫春日系列》连载在什么杂志？	凉宫春日系列	连载杂志	the sneaker（隔月连载）	《凉宫春日系列》
《埋伏》这个片子有多长？	埋伏	片 长	90分钟	《埋伏》
《小野兽花店》在哪些平台进行在线播放了？	小野兽花店	在线播放平台	土豆网、优酷网、华数tv	《小野兽花店》
《世间路》一共有多少集？	世间路	集 数	36集	《世间路》
《娇妻狠角色：总裁，要学乖》是哪种类型的小说？	娇妻狠角色：总裁，要学乖	小说类型	豪门世家	《娇妻狠角色：总裁，要学乖》
《中国新声代第二季》的口号是什么？	中国新声代第二季	口号	唱歌吧，有梦想的孩子们	《中国新声代第二季》
《fantasy》是什么语言版本的？	fantasy	语 言	粤语	《fantasy》
《beautiful girl》是谁唱的？	beautiful girl	演唱	郭富城	《beautifulgirl》
《黑执事》都有谁配音？	黑执事	主要配音	小野大辅，坂本真绫，樱井孝宏，水树奈奈	《黑执事》
《寻根集》是什么时候印刷的？	寻根集	印刷时间	1998-8-1	《寻根集》
《修真门派掌门人》一共点击了多少次？	修真门派掌门人	总点击	1235009	《修真门派掌门人》
麻烦你解释下水险的意思？	水险	基本解释	1. 水上险要之处	下水险
《第一时间》有哪些人主持？	第一时间	主持人	罗彬、 吴薇、张亚群	《第一时间》
明唐寅吹箫图文物属于谁的？	明唐寅吹箫图	文物原属	私人收藏	明唐寅吹箫图文物
《青岛市胶州湾保护条例》什么时候开始施行的？	青岛市胶州湾保护条例	施行时间	2014年9月1日起	《青岛市胶州湾保护条例》
《欲魔》有什么色彩？	欲魔	色 彩	彩色	《欲魔》
《倔强》的MV是谁导的？	倔强	mv导演	赖伟康	《倔强》
《保护猫咪》贴的什么标签？	保护猫咪	标签	动作	《保护猫咪》
国际工程招标原则是什么？	国际工程招标	原则	公平、公正、平等竞争	国际工程招标原
《魔法少女奈叶》的制片人是谁？	魔法少女奈叶	制片	三嶋章夫	《魔法少女奈叶》
《先史遗产都市·巴比伦》的卡片是什么种类？	先史遗产都市·巴比伦	卡片种类	场地魔法	《先史遗产都市·巴比伦》
《来自风平浪静的明天》是谁制作的？	来自风平浪静的明天	动画制作	p.a.works	《来自风平浪静的明天》
《圣杯神器：骸骨之城》花了多少钱制作？	圣杯神器：骸骨之城	制片成本	$60,000,000（估）	《圣杯神器：骸骨之城》
“台北捷运万大-中和-树林线”的概述是什么？	台北捷运万大-中和-树林线	概览	中华民国（台湾） 台北市、新北市、桃园市	“台北捷运万大-中和-树林线”
姜华公司的口号是什么？	姜华	公司口号	绿色环保节能	姜华公司
《旋风管家》什么时候播放的？	旋风管家	播放期间	2007年4月1日－2008年3月30日	《旋风管家》
《莲灯》是什么时候创作的？	莲灯	创作时间	2013年	《莲灯》
《罗马假日》打算花多少钱？	罗马假日	预算	$150万	《罗马假日》
《至尊战神》有多少字数？	至尊战神	总字数	127.9万字	《至尊战神》
《广东省人民政府办公厅转发教育部关于进一步做好进城务工就业农民子女义务教育工作意见的通知》是哪个单位发行的？	广东省人民政府办公厅转发教育部关于进一步做好进城务工就业农民子女义务教育工作意见的通知	发文单位	广东省人民政府办公厅	《广东省人民政府办公厅转发教育部关于进一步做好进城务工就业农民子女义务教育工作意见的通知》
《雷锋：一个小兵与一个大国》的asin是什么？	雷锋：一个小兵与一个大国	asin	b007t4f8r0	《雷锋：一个小兵与一个大国》
《红色警戒2：核战争》需要注意什么？	红色警戒2：核战争	注意	游戏比较贴近现实	《红色警戒2：核战争》
《走近天津实用英语手册》属于哪种装帧？	走近天津实用英语手册	装 帧	平装	《走近天津实用英语手册》
《进击的巨人》的册数是多少？	进击的巨人	册数	15册（2014年12月） 15册（2015年1月）	《进击的巨人》
《超级qq》是哪个公司开发的？	超级qq	开发公司	腾讯	《超级qq》
《后夺舍时代》属于哪种分类？	后夺舍时代	分 类	仙侠	《后夺舍时代》
《大清最后的格格：步云衢》现在是什么状态？	大清最后的格格：步云衢	小说状态	已完结	《大清最后的格格：步云衢》
《算了吧》是由谁作词谱曲？	算了吧	词曲	吕浩峰	《算了吧》
《今夜谁来共舞》属于哪个专辑？	今夜谁来共舞	所属专辑	纵容美丽	《今夜谁来共舞》
《今日的5年2班》是由谁出品的？	今日的5年2班	出品	「今日的5年2班」制作委员会	《今日的5年2班》
请问白诚铉哪年发布的出道作品，叫什么名字啊？	白成铉	出道作品	1994年电影《不能实现的渴望》	白诚铉
这次反恐特勤队的规模能达到多少人啊？	反恐特勤队	规模	行动队141名	这次反恐特勤队
2011年帕兹曼德福卢到底有多少人？	帕兹曼德福卢	人口（2011年）	994	2011,帕兹曼德福卢
战地2 起源勋章(mos)模组发行阶段进行到哪步了？	战地2 起源勋章(mos)模组	发行阶段	未发行	战地2起源勋章(mos)模组,段
天文迷们，奚仲四上的温度大概是多少？	奚仲四	温度	5,803 ± 3.1[2] k	天文迷,，奚仲四
你了解基于内核的虚拟机的许可协议吗？	基于内核的虚拟机	许可协议	gnu通用公共许可证或gnu宽通用公共许可证	基于内核的虚,机
谁可以举一个使用生物消毒法的例子？	生物消毒法	举例	污水净化；粪便、垃圾的发醉堆肥	使用生物消毒法
闻名于世的帕特农神庙是由谁设计的？	帕特农神庙	设计者	伊克蒂诺斯	闻名于世的帕特农神庙
著名的台儿庄大捷主要是由谁指挥的？	台儿庄大捷	主要指挥官	白崇禧、李宗仁、孙连仲、汤恩伯等	著名的台儿庄大捷
1945-1949年e7型柴油机车生产了多少台？	e7型柴油机车	生产	510台（1945-1949）	1945-1949年e7型柴油机车
文物半瓢壶的现状如何？	半瓢壶	文物现状	此壶现藏上海博物馆	文物半瓢壶
你知道非影初登场是在哪一集吗？	非影	初登场	霹雳剑踪 第1集	非影初登场
请问您结婚吧有什么用处？	结婚吧	用处	电子商务网站	您结婚吧
请问您2012埃及开罗博览会的展会地点在哪里？	2012埃及开罗博览会	展会地点	开罗国际展览中心	您2012埃及开罗博览会
请问新罗西斯克号航母是在哪里造的？	新罗西斯克号航空母舰	制造厂	尼古拉耶夫造船厂	新罗西斯克号航母
谁知道飒漫画系列有哪些丛书？	飒漫画	丛书系列	画王 南腔北调（169前） 向导(107前)	飒漫画系列
我想知道暗魔法使里面有插图吗？	暗夜魔法使	插图	石田ヒロユキ、みかきみかこ	暗魔法使
我很好奇西班牙女篮的主教练是谁？	西班牙女子篮球队	主教练	瓦里斯托-佩雷兹	西班牙女篮
请问宾大的吉祥物是什么？	宾夕法尼亚州立大学	吉祥物	尼特尼狮子（nittany lion）	宾大
谁知道世界艺术史：电源卷的精装版有多少页？	世界艺术史：电影卷	精装	300页	世界艺术史：电源卷
我很好奇mk 44巨蝮二式链炮有多高？	mk 44巨蝮二式链炮	全高	391.92毫米（15.43英吋）	mk44巨4二式链炮
谁能给我讲讲蓝摄影背后的故事？	蓝摄影	故事	真实、自然、纯粹、原创	蓝摄影背后,事
谁知道列克星敦号航母的装甲怎么样？	列克星敦号航空母舰	装甲	机库：2.5吋 防护甲板：1.5吋 装甲带：2.5-4吋 防水壁：4吋 指挥塔：1-1.5吋 舵机：2.5吋	列克星敦号航母
我想知道儿童歌谣大王有几张碟？	儿歌童谣大王	碟 片 数	5	儿童歌谣大王
小说帝尊的推荐数一共有多少呢？	帝尊	总推荐	545826	小说帝尊
谁知道列克星敦号航母属于什么级别？	列克星敦号航空母舰	级别	列克星敦级	列克星敦号航母
谁知道大黄蜂号航母可以航行多远？	大黄蜂号航空母舰	续航距离	12,000海浬/15节	大黄蜂号航母
谁知道神奇宝贝：阿尔宙斯超克的时空的配乐是什么？	神奇宝贝：阿尔宙斯超克的时空	配乐	宫崎慎二[6]	神奇宝贝：阿尔宙斯超克,空
我想知道常州一中现在有多少职员？	常州市第一中学	职员人数	170多人	常州一中
我想知道清纯财务中心是什么建筑？	青春财富中心	建筑类型	板楼	清纯财务中心
请问中性bingo的适用频率是多少？	中兴bingo	适用频率	850/900/1800/1900/2100mhz	中性bingo
我很好奇兰利号航母吃水有多深？	兰利号航空母舰	吃水	7.9米	兰利号航母
谁知道基辅号航母是什么级别？	基辅号航空母舰	舰级	基辅级航空母舰	基辅号航母
谁知道暗夜冰湖的精灵序号是多少？	暗夜冰狐	精灵序号	1011	暗夜冰湖
最后2001年世界女子手球锦标赛的成绩是什么？	2001年世界女子手球锦标赛	最终成绩	俄罗斯 (第1届 title)	最后2001年世界女子手球锦标赛
我想知道列克星敦号航母满载的时候排水量是多少？	列克星敦号航空母舰	满载排水量	50000吨	列克星敦号航母
我很好奇兰利号航母能开多块？	兰利号航空母舰	最高航速	31.5节	兰利号航母
请问普林斯顿号航母的标准排水量是多少？	普林斯顿号航空母舰	标准排水量	11000吨	普林斯顿号航母
请问对外联防的重点是什么？	对位联防	重点	协调行动	对外联防
请问乔治·h·w·布什号航母现在是什么状况？	乔治·h·w·布什号航空母舰	现况	服役中（截至2015年）	乔治·h·w·布什号航母
请问有关进口废物管理的文件是什么？	进口废物管理	相关文件	《限制进口可用作原料的废物》	有关进口废物管理
财务经理的认证是怎样说明的？	财务经理	认证	为顺应世界经济一体化	财务经理的
我很好奇世界气象公约是什么时候开始执行的？	世界气象组织公约	执行日期	1950-3-23	世界气象公约
谁知道燕京大学国旗护卫队有多长时间？	燕山大学国旗护卫队	历时	十九届	燕京大学国旗护卫队
请问中国男篮职业联赛什么时候比赛？	中国男子篮球职业联赛	比赛日期	11月—次年2月（常规赛）	中国男篮职业联赛
请问吉隆坡机场距离市区多远？	吉隆坡国际机场	市区距离	50公里	吉隆坡机场
我想知道华为g700联通版刷机包适合什么机型？	华为 g700联通版刷机包	适合机型	华为 g700联通版	华为g700联通版,包
六优105种在哪里有人知道吗？	六优105	种植区域	盆周山区及稻麦采等三熟制地区	六优105种
魔法门只英雄无敌ii需要多大容量的硬盘？	魔法门之英雄无敌ⅱ	硬盘	100m	魔法门只英雄无敌ii
中国人民大学经济学研究中心发表了什么刊物？	中国人民大学经济法学研究中心	刊物	《经济法学评论》	中国人民大学经济学研究中心
雷网初中距县城有多远？	雷王初中	距县城	25公里	雷网初中
比亚迪f3行李舱有多少升？	比亚迪f3	行李舱容积	480升	比亚迪f3行李舱
199年的卢克索由多少人？	卢克索	人口（1999）	376,022	199,卢克索
最新武神空间的章节题目是？	武神空间	最新章节	双倍月票开始，求月票！	最新武神空间
济南千禧王朝制衣有限公司未来期望的景象是什么样子的呢？	济南千禧王朝制衣有限公司	愿景	屹立齐鲁，通达华夏	济南千禧王朝制衣有限公司未来期望的景象
北京天元图纸效果图制作公司有什么区别？	北京天元图纸效果图制作公司	区别	手绘效果图和电脑效果图	北京天元图纸效果图,公司
北白川宫能久亲王统一率领哪个团队？	北白川宫能久亲王	统率	近卫师团	北白川宫能久亲王,一
你知道住在如家快捷酒店北京西客站店周边有什么景点吗？	如家快捷酒店北京西客站店	周边景点	军事博物馆、中央电视塔等	住,如家快捷酒店北京西客站店
九龙巴士249x线回程的分段收费站点叫什么？	九龙巴士249x线	分段收费站点 （回程）	过沙岭隧道后往沙田市中心：hk$5.8	九龙巴士249x线回程
松下dp-3000打印机的分辨率是多少？	松下dp-3000	打印分辨率	600dpi	松下dp-3000打印机
珠海市现在的领导叫什么？	珠海	现任领导	市委书记：李嘉、市长：何宁卡	珠海市
白痴洗印是什么格式？	白痴	洗印格式	35mm	白痴洗印
莱斯布里奇都会区有多大？	莱斯布里奇	• 都会区	2,975.59 平方公里（auto 平方英里）	莱斯布里奇都会区
祭奠敖包节有什么意义？	祭敖包节	节日意义	对神灵的祈祷	祭奠敖包节
平阳公主夫君的父亲是谁？	平阳公主	夫之父	平阳简侯曹奇、汝阴恭侯夏侯赐、郑季	平阳公主夫
既是朋友后的歌词是什么？	既是朋友	歌词	当日没热情谈笑	既是朋友后
无线电视翡翠台哪年首播了黄金十年？	黄金十年	无线电视翡翠台首播	1986年10月6日-12月26日	无线电视翡翠台,黄金十年
这个夏天由谁负责后期？	这个夏天	后期	威仔	这,后
股票净值是怎么计算的？	股票的净值	资产净值	会计统计的方法计算出来的股票	股票净值
敬衷皇后的坟墓在哪儿？	敬哀皇后	坟墓	云中金陵	敬衷皇后
你知道天敏液晶珑精华版电视盒(lt300w)有什么其他的特点吗？	天敏液晶珑精华版电视盒(lt300w)	其他特点	高分辩率输出，可达1280x1024	天敏液晶珑精华版,视盒(lt300w)
你知道瘟疫之心套装护甲要多少钱吗？	瘟疫之心套装	护甲	188	瘟疫之心套装护甲
谁可以说出爱德华王子岛省长的名字？	爱德华王子岛	省长	robert ghiz	爱德华王子岛省
请问忆典i7-rd 的硬盘类型是什么？	忆典i7-r	硬盘类型	多媒体硬盘录放器	忆典i7-rd
请问颁布职业院校教师素质提高计划中等职业学校专业骨干教师培训项目管理办法的机构是什么？	职业院校教师素质提高计划中等职业学校专业骨干教师培训项目管理办法	颁布机构	教育部办公厅、财政部办公厅	颁布职业院校教师素质提高计划中等职业学校专业骨干教师培训项目管理办法
环保工程师考试的时间由谁确定？	环保工程师	考试时间	国家住建部确定	环保工程师考试
极速a30摄像头的对焦方式是什么？	极速a30摄像头	对焦方式	手动对焦	极速a30摄,头
