告诉我高等院校素质教育“十二五”规划教材的名字是什么？	高等院校素质教育“十二五”规划教材	书名	职场博弈素质培养	高等院校素质教育“十二五”规划,材
《恶魔之吻》的日文名是什么？	恶魔之吻	日文名	悪魔のくちづけ	《恶魔之吻》
《基于信息系统的网络作战》是多少开本的？	基于信息系统的网络作战	开 本	16开	《基于信息系统的网络作战》
《如何让你爱的人爱上你》有多少字数？	如何让你爱的人爱上你	字 数	170000	《如何让你爱的人爱上你》
《谁的顶戴花翎》是哪种类型的作品？	谁的顶戴花翎	作品类型	长篇小说	《谁的顶戴花翎》
《我们约会吧+》是哪个地区发行的？	我们约会吧+	国家/地区	中国	《我们约会吧+》
《毛泽东思想论坛》主要有哪些栏目？	毛泽东思想论坛	主要栏目	中国特色社会主义理论研究、改革开放、风云透视、基层干群论坛	《毛泽东思想论坛》
我很好奇《凉宫春日系列》连载在什么杂志？	凉宫春日系列	连载杂志	the sneaker（隔月连载）	《凉宫春日系列》
《埋伏》这个片子有多长？	埋伏	片 长	90分钟	《埋伏》
《小野兽花店》在哪些平台进行在线播放了？	小野兽花店	在线播放平台	土豆网、优酷网、华数tv	《小野兽花店》
《世间路》一共有多少集？	世间路	集 数	36集	《世间路》
《娇妻狠角色：总裁，要学乖》是哪种类型的小说？	娇妻狠角色：总裁，要学乖	小说类型	豪门世家	《娇妻狠角色：总裁，要学乖》
《中国新声代第二季》的口号是什么？	中国新声代第二季	口号	唱歌吧，有梦想的孩子们	《中国新声代第二季》
《fantasy》是什么语言版本的？	fantasy	语 言	粤语	《fantasy》
《beautiful girl》是谁唱的？	beautiful girl	演唱	郭富城	《beautifulgirl》
碎石之锤物品的等级是多少？	碎石之锤	物品等级	42	碎石之锤,品
《黑执事》都有谁配音？	黑执事	主要配音	小野大辅，坂本真绫，樱井孝宏，水树奈奈	《黑执事》
大田站月台的配置是怎么样的？	大田站	月台配置	1面2线	大田站月台
《寻根集》是什么时候印刷的？	寻根集	印刷时间	1998-8-1	《寻根集》
《修真门派掌门人》一共点击了多少次？	修真门派掌门人	总点击	1235009	《修真门派掌门人》
《第一时间》有哪些人主持？	第一时间	主持人	罗彬、 吴薇、张亚群	《第一时间》
明唐寅吹箫图文物属于谁的？	明唐寅吹箫图	文物原属	私人收藏	明唐寅吹箫图文物
《青岛市胶州湾保护条例》什么时候开始施行的？	青岛市胶州湾保护条例	施行时间	2014年9月1日起	《青岛市胶州湾保护条例》
《欲魔》有什么色彩？	欲魔	色 彩	彩色	《欲魔》
《倔强》的MV是谁导的？	倔强	mv导演	赖伟康	《倔强》
《保护猫咪》贴的什么标签？	保护猫咪	标签	动作	《保护猫咪》
国际工程招标原则是什么？	国际工程招标	原则	公平、公正、平等竞争	国际工程,标
《魔法少女奈叶》的制片人是谁？	魔法少女奈叶	制片	三嶋章夫	《魔法少女奈叶》
《先史遗产都市·巴比伦》的卡片是什么种类？	先史遗产都市·巴比伦	卡片种类	场地魔法	《先史遗产都市·巴比伦》
《来自风平浪静的明天》是谁制作的？	来自风平浪静的明天	动画制作	p.a.works	《来自风平浪静的明天》
《圣杯神器：骸骨之城》花了多少钱制作？	圣杯神器：骸骨之城	制片成本	$60,000,000（估）	《圣杯神器：骸骨之城》
“台北捷运万大-中和-树林线”的概述是什么？	台北捷运万大-中和-树林线	概览	中华民国（台湾） 台北市、新北市、桃园市	“台北捷运万大-中和-树林线”
恹字有多少笔？	恹	总笔画	9	恹字
加速之光卡片上的密码是多少？	加速之光	卡片密码	34838437	加速之光,片
姜华公司的口号是什么？	姜华	公司口号	绿色环保节能	姜华公司
《旋风管家》什么时候播放的？	旋风管家	播放期间	2007年4月1日－2008年3月30日	《旋风管家》
《莲灯》是什么时候创作的？	莲灯	创作时间	2013年	《莲灯》
《罗马假日》打算花多少钱？	罗马假日	预算	$150万	《罗马假日》
《至尊战神》有多少字数？	至尊战神	总字数	127.9万字	《至尊战神》
提前录取的学校有哪些？	提前录取	学校	解放军院校，武警院校	提前,取
《广东省人民政府办公厅转发教育部关于进一步做好进城务工就业农民子女义务教育工作意见的通知》是哪个单位发行的？	广东省人民政府办公厅转发教育部关于进一步做好进城务工就业农民子女义务教育工作意见的通知	发文单位	广东省人民政府办公厅	《广东省人民政府办公厅转发教育部关于进一步做好进城务工就业农民子女义务教育工作意见的通知》
《雷锋：一个小兵与一个大国》的asin是什么？	雷锋：一个小兵与一个大国	asin	b007t4f8r0	《雷锋：一个小兵与一个大国》
《红色警戒2：核战争》需要注意什么？	红色警戒2：核战争	注意	游戏比较贴近现实	《红色警戒2：核战争》
《走近天津实用英语手册》属于哪种装帧？	走近天津实用英语手册	装 帧	平装	《走近天津实用英语手册》
《进击的巨人》的册数是多少？	进击的巨人	册数	15册（2014年12月） 15册（2015年1月）	《进击的巨人》
《超级qq》是哪个公司开发的？	超级qq	开发公司	腾讯	《超级qq》
你知道演对手戏需要什么？	对手戏	要求	两个演员	演对手戏
《后夺舍时代》属于哪种分类？	后夺舍时代	分 类	仙侠	《后夺舍时代》
《大清最后的格格：步云衢》现在是什么状态？	大清最后的格格：步云衢	小说状态	已完结	《大清最,：步云衢》
《算了吧》是由谁作词谱曲？	算了吧	词曲	吕浩峰	《算了吧》
《今夜谁来共舞》属于哪个专辑？	今夜谁来共舞	所属专辑	纵容美丽	《今夜谁来共舞》
《今日的5年2班》是由谁出品的？	今日的5年2班	出品	「今日的5年2班」制作委员会	《今日的5年2班》
战地2 起源勋章(mos)模组发行阶段进行到哪步了？	战地2 起源勋章(mos)模组	发行阶段	未发行	战地2起源勋章(mos),组
考考你，氟的沸点是多少啊？	氟	沸点	-188.12℃	考考你，,氟
天文迷们，奚仲四上的温度大概是多少？	奚仲四	温度	5,803 ± 3.1[2] k	天文迷,奚仲四
在魁北克战役中美英的兵力各有多少？	魁北克战役	兵力	1200（美）、1800（英）	魁北克战役,美英
大家知道林志玲的经济约签在哪家公司了吗？	林志玲	经纪公司	凯渥模特儿经纪公司	林志玲,经,约
你了解基于内核的虚拟机的许可协议吗？	基于内核的虚拟机	许可协议	gnu通用公共许可证或gnu宽通用公共许可证	基,内核,虚拟机
闻名于世的帕特农神庙是由谁设计的？	帕特农神庙	设计者	伊克蒂诺斯	世的,帕特农神庙
著名的台儿庄大捷主要是由谁指挥的？	台儿庄大捷	主要指挥官	白崇禧、李宗仁、孙连仲、汤恩伯等	的,台儿庄大捷
八里庄南里于何时交房？	八里庄南里	交房时间	1995-6	八里庄,里
苹果英语·活页题选：7年级阅读的读者对象是几岁?	苹果英语·活页题选：7年级阅读	读者对象	11-14岁	苹果英语·活页题选：7年级,读
1945-1949年e7型柴油机车生产了多少台？	e7型柴油机车	生产	510台（1945-1949）	1945-1949年e7型柴油机车
文物半瓢壶的现状如何？	半瓢壶	文物现状	此壶现藏上海博物馆	文物半瓢壶
你知道tao606卖家网址导航的网站类型吗？	tao606卖家网址导航	网站类型	网址导航	tao606卖家网址,航
建筑门窗洞口尺寸系列的标准号是什么？	建筑门窗洞口尺寸系列	标准号	gb/t 5824-2008	建筑门窗洞口,寸,列
你知道闭阁思过是什么意思吗？	闭阁思过	释 义	指关起门来自我反省	闭阁,过
环宇飞扬液晶伯爵h067 绿色的传感器是什么类型？	环宇飞扬液晶伯爵h067 绿色	传感器类型	cmos	环宇飞扬液晶伯爵h067,色
钢丝上的舞者的寓意是什么？	钢丝上的舞者	寓意	灭顶之灾	钢丝上,者
再说你也不会懂的有几分钟？	再说你也不会懂	曲长	4分钟	再,你,不,懂
邻近东区的行政区有什么？	东区	邻近行政区	广岛市（中区、南区、西区、安佐南区、安佐北区、安艺区）、府中町	近,东区
铃声设置下载了多少次？	铃声设置	下载	247次	铃声,置
财阀与帝国主义的i s b n是什么？	财阀与帝国主义	i s b n	9.78751E+12	财阀,帝国主义
少女杜拉的故事：一个癔症案例分析的片断的出版社是什么？	少女杜拉的故事：一个癔症案例分析的片断	出 版 社	九州出版社	少女杜拉的故事：一个癔症案例分析,断
请问青之城的圆舞曲的作者是谁？	青之城的圆舞曲	漫画作者	江户屋ぽち	青之城,圆,曲
请问悲情女声：撩拨灵魂的魅音的介质是什么？	悲情女声：撩拨灵魂的魅音	介质	cd	悲情女声：撩拨灵魂,魅
殿内明良属于什么学部？	殿内明良	学部	高等部	殿,明良
7.62×39mmm1943中间威力步枪弹是什么时候研发的？	7.62×39mmm1943中间威力步枪弹	研发日期	1943年	7.62×39mmm1943,间威力步枪弹
下一个遇见这本小说有多少字？	下一个遇见	小说字数	10000（连载）	下,个,遇见
你知道舒的夏天的原名是什么吗？	舒的夏天	本 名	舒翠翠	舒,夏
你知道非影初登场是在哪一集吗？	非影	初登场	霹雳剑踪 第1集	非影初
请问您结婚吧有什么用处？	结婚吧	用处	电子商务网站	您结婚吧
东亚文化圈的形成与发展：政治法制篇的条形码是多少？	东亚文化圈的形成与发展：政治法制篇	条 形 码	9787561758472	东亚文化圈,发,政治法制篇
谁知道飒漫画系列有哪些丛书？	飒漫画	丛书系列	画王 南腔北调（169前） 向导(107前)	飒漫画系列
谏字的unicode是什么，有人知道吗？	谏	unicode	cjk 统一汉字 u+8c0f	谏字
请问乱情马窝村（全本）出版了吗？	乱情马窝村（全本）	是否出版	否	乱情马窝村（全,）
我很好奇mk 44巨蝮二式链炮有多高？	mk 44巨蝮二式链炮	全高	391.92毫米（15.43英吋）	mk44巨4二式链炮
南京市关于再生育子女审批的实施办法是用于什么的？	南京市关于再生育子女审批的实施办法	关于	办理单独二胎申请	南京市关于再生育子女审批,实,法
小说帝尊的推荐数一共有多少呢？	帝尊	总推荐	545826	小说帝尊
我很好奇用海信hs-d858可以通话多久？	海信hs-d858	通话时间	90-120 分钟	用海信hs-d858
谁知道神奇宝贝：阿尔宙斯超克的时空的配乐是什么？	神奇宝贝：阿尔宙斯超克的时空	配乐	宫崎慎二[6]	神奇宝贝：阿尔宙斯超克,空
谁知道九龙巴士249x线终点站的服务时间是什么时候？	九龙巴士249x线	终点站 服务时间	星期一至六：06:45-09:15、17:15-19:45	九龙巴士249x线,站
谁知道润普rp-cti112 112故障申报系统是什么操作系统？	润普rp-cti112 112故障申报系统	操作系统	windowsnt4.0	润普rp-cti112112故障申报,统
我想知道魅族ep-21hd耳机的灵敏度有多高？	魅族ep-21hd耳机	灵敏度	99db/mw	魅族ep-21hd,机
我想请问tao606卖家网址导航的口号是什么？	tao606卖家网址导航	口号	淘宝卖家专用的上网主页	tao606卖家,址,航
谁知道2·1南桑威奇群岛地区地震是多少级？	2·1南桑威奇群岛地区地震	震级	6.1级	2·1南桑威奇群岛地区,震
谁知道精神病与精神卫生学专业是研究什么的？	精神病与精神卫生学专业	研究	精神障碍的病因、发病机制	精神病与精神卫生学,业
请问有关进口废物管理的文件是什么？	进口废物管理	相关文件	《限制进口可用作原料的废物》	有关进口废物管理
我想知道我是一棵小草是在哪里首播的？	我是一棵小草	首播频道	北京电视台影视频道	我,一棵小草
我想知道震旦as048碎纸的效果怎么样？	震旦as048	碎纸效果	5x47mm	震旦as048碎纸
请问火影之未来的未来现在到什么进度了？	火影之未来的未来	进度	已完结	火影之未来,来
小小爱情我和你由谁混缩？	小小爱情我和你	混缩	鼻音哥	小小爱情我,你
型录设计：技巧与工艺的尺寸和重量分别是多少？	型录设计：技巧与工艺	产品尺寸重量	23x26x1.3cm;780g	型录设计：技巧,艺
比亚迪f3行李舱有多少升？	比亚迪f3	行李舱容积	480升	比亚迪f3行李舱
李富墓是福建省文物保护单位吗？	李富墓	福建省文物保护单位	福建省文物保护单位	李富墓,建
最新武神空间的章节题目是？	武神空间	最新章节	双倍月票开始，求月票！	最新武神空间
济南千禧王朝制衣有限公司未来期望的景象是什么样子的呢？	济南千禧王朝制衣有限公司	愿景	屹立齐鲁，通达华夏	济南千禧王朝制衣有限公司未来期望
乐业县总工会有多少条数？	乐业县总工会	条数	8条	乐业县,会
立花里子的三围是多少？	立花里子	三围	83-60-83cm	立花,子
松下dp-3000打印机的分辨率是多少？	松下dp-3000	打印分辨率	600dpi	松下dp-3000打印机
赵孟頫书赵世延家庙碑是不是甘肃省文物保护单位？	赵孟頫书赵世延家庙碑	甘肃省文物保护单位	甘肃省文物保护单位	赵孟頫书赵世延家庙碑,甘
雪枫烈士陵园是江苏省文物保护单位吗？	雪枫烈士陵园	江苏省文物保护单位	江苏省文物保护单位	雪枫烈士陵园,江苏
珠海市现在的领导叫什么？	珠海	现任领导	市委书记：李嘉、市长：何宁卡	珠海市
光宇游戏总裁叫什么？	光宇游戏	总裁	宋洋	光宇游,裁
耳机里的新浪潮是这个专辑的名称吗？	耳机里的新浪潮	专辑名称	耳机里的新浪潮	耳机,新浪潮
帆影翻译全程是什么？	帆影	翻译	指帆船去远而模糊的形象	帆影,译
白痴洗印是什么格式？	白痴	洗印格式	35mm	白痴洗印
无线语音高压核相仪使用什么工作电源？	无线语音高压核相仪	工作电源	发射、接收均为锂电	无线语音高压核,仪
预防医学专业毕业后会授予什么学位？	预防医学专业	授予学位	医学	预防医学专业毕业
莱斯布里奇都会区有多大？	莱斯布里奇	• 都会区	2,975.59 平方公里（auto 平方英里）	莱斯布里奇都会区
平阳公主夫君的父亲是谁？	平阳公主	夫之父	平阳简侯曹奇、汝阴恭侯夏侯赐、郑季	平阳公主夫君
既是朋友后的歌词是什么？	既是朋友	歌词	当日没热情谈笑	既,朋友
无线电视翡翠台哪年首播了黄金十年？	黄金十年	无线电视翡翠台首播	1986年10月6日-12月26日	无,视翡翠台,黄金十年
移动商学院讲座的内涵是什么？	移动商学院讲座	内涵	西部管理网	移动商学院,座
随身带着如意扇有多少字？	随身带着如意扇	小说字数	193万	随身带,如意扇
忻黄单84号穗长多少？	忻黄单84号	穗长	23~26cm	忻黄单84,穗
海尔xqb50-20hf抗菌型自动化程度如何？	海尔xqb50-20hf抗菌型	自动化程度	全自动	海尔xqb50-20hf抗,型
绥芬河口岸有多少人口流动？	绥芬河口岸	流动人口	5万	绥芬河,岸
距2001年3月8日结束还有多少天？	2001年3月8日	结束	还有298天	2001,3,8
陕西安康中学生被砍案当时什么状况？	陕西安康中学生被砍案	状况	两名学生受伤	陕西安康中学生,砍
苏志清真寺是青海省的文物保护单位吗？	苏志清真寺	青海省文物保护单位	青海省文物保护单位	苏志清真寺,青海
峪道河遗址是陕西省文物保护单位吗？	峪道河遗址	山西省文物保护单位	山西省文物保护单位	峪道河遗址,陕西
落可崠群地层单位什么编码？	落可崠群	地层单位编码	06-36-0401	落可崠群,层
五舟 sr6212t-1标准配置的硬盘有多大？	五舟 sr6212t-1	标配硬盘容量	500gb	五舟sr6212t-1标,置
教宗圣贺密斯达何时就任？	教宗圣贺密斯达	就任	514年7月20日	教,圣贺密斯达
板桥站站台是什么样的？	板桥站	站台形式	岛式月台	板桥站,台
远传的衣钵：日本传衍的敦煌佛教文学的丛书名是什么？	远传的衣钵：日本传衍的敦煌佛教文学	丛书名	人文日本新书	远传的衣钵：日本传衍,敦煌佛教文学
你知道瘟疫之心套装护甲要多少钱吗？	瘟疫之心套装	护甲	188	瘟疫之心套装护甲
在2011年《福布斯》全球上市公司2000强 (1-100)中谁取得了第一名？	2011年《福布斯》全球上市公司2000强 (1-100)	第一名	jpmorgan chase	2011,《福布斯》全球上市公司2000强(1-100)
谁可以说出爱德华王子岛省长的名字？	爱德华王子岛	省长	robert ghiz	爱德华王子岛省
你知道抗日小英雄杨来西什么时候首播吗？	抗日小英雄杨来西	首播	2011年3月5日举行	抗日小英雄杨,西
地中海建筑有什么特点？	地中海建筑	特点1	简单、圆润的线条。	地中海,筑
请问阿周那型小行星又叫做什么？	阿周那型小行星	又译	地球少女型小行星	阿周,型,行星
请问元张中芙蓉鸳鸯图是谁画的？	元张中芙蓉鸳鸯图	画家	张中	元张,芙蓉鸳鸯图
做虾仁肉末蒸鸡蛋要有多久的准备时间？	虾仁肉末蒸鸡蛋	准备时间	10分钟	做,虾仁肉末蒸鸡蛋
谁能告诉我伍共有多少笔画吗？	伍	总笔画数	6	伍共
你可以说出麸字的笔划数吗？	麸	笔划	11	麸字
亚都yc-e311e水箱的容积有多大？	亚都yc-e311e	水箱容积	2.5l	亚都yc-e311e水箱
请问忆典i7-rd 的硬盘类型是什么？	忆典i7-r	硬盘类型	多媒体硬盘录放器	忆典i7-rd
2013年印度尼西亚羽毛球首要超级赛的场地在哪里？	2013年印度尼西亚羽毛球首要超级赛	赛场	格罗拉蓬卡诺体育场	2013年印度尼西亚羽毛球首要,级
环保工程师考试的时间由谁确定？	环保工程师	考试时间	国家住建部确定	环保工程师考试
集安五盔坟5号墓壁画是什么样的造型？	集安五盔坟5号墓壁画	造型	人首龙躯的伏羲	集安五盔坟5号墓,画
你知道少年突破马神第三季粤语原著的作者是谁吗？	少年突破马神第三季粤语	原著作者	矢立肇	少年突破马神第三季,语
我是你的，你是我的是谁唱的？	我是你的，你是我的	歌手姓名	曾轶可	我,你,我
生活垃圾卫生填埋场环境监测技术要求的标准状态是什么？	生活垃圾卫生填埋场环境监测技术要求	标准状态	现行	生活垃圾卫生填埋场环境监测技术,求
请问欧洲联盟人民的生活状况怎么样？	欧洲联盟	人民生活	以下资讯是以2014年估计  总人口：507,416,607[1]人（世界第3名） 人口密度：115.8人/平方公里 300.9人/平方英里/km2	欧洲联盟人民
2008–09年香港足总杯哪个球队卫冕？	2008–09年香港足总杯	卫冕球队	公民（半准决赛出局）	2008009年香港足总杯
你知道绿苞细齿南星（变种）来自哪里吗？	绿苞细齿南星（变种）	产自	浙江天目山	绿苞细齿南星,变,）
寒兰亚属于什么？	寒兰	亚 属	建兰亚属	寒兰亚
你知道东风-3中程地对地弹道导弹的直径是多少吗？	东风-3中程地对地弹道导弹	直径	2.25米	东风-3,程地对地弹道导弹
盖亚的王侯的施放费用是多少？	盖亚的王侯	施放费用	3ggg	盖亚,侯
做铁板鱼要用到哪些调料？	铁板鱼	调味品	粗盐 味精 鸡精	做,铁板鱼
请问贵南县渡口有多长？	贵南县渡口	流程	1455多公里	贵南县,口
你知道多彩吧鲸鱼玻璃手机链是什么样子的吗？	多彩吧鲸鱼玻璃手机链	外观特征	鲸鱼造型，重量：5克	多彩吧鲸鱼玻璃,机
appendmenu函数是干什么用的，有人知道吗？	appendmenu	函数功能	该函数在指定的菜单条	appendmenu函数
请用得出造句？	得出	例句	他得出这个结论是多次考虑的结果
我是山主是否完结吗啊？	我是山主	发布状态	连载中
交通参数都有什么啊？	交通参数	例如	如交通量、车速、密度
我要拼是什么国家的啊？	我要拼	歌曲标签	港台国语
我是谁专辑里有哪些歌手？	我是谁	专辑歌手	周华健 ，成龙
这个夏天由谁负责后期？	这个夏天	后期	威仔
