question,predict_answer,accurate_answer
你知道trojan/psw.agent.cks是在什么平台吗？,win 9x/me/nt/2000/xp,win 9x/me/nt/2000/xp
你知道七朵的简称吗？,七朵,七朵
hp compaq nc6230(ef927pa)的主频是多少啊？,1.86ghz,1.86ghz
中华人民共和国国庆节是属于什么类型的节日啊？,历史纪念日,历史纪念日
汉口新华路长途汽车站的建设时间是什么时候啊？,1934年,1934年
你知道止泻木是什么栽培技术吗？,非人工引种栽培,非人工引种栽培
我想知道奥托布雷达76舰炮的生产是什么时候啊？,1969（基本型） 1988（76/62 super rapid）,1969（基本型） 1988（76/62 super rapid）
金毛的拉丁文怎么写啊？,goldenretriever,goldenretriever
你知道洛旱8号有什么特点吗？,属半冬性多穗型中熟品种,属半冬性多穗型中熟品种
竞彩258有什么重要的事情发生吗？,2014年3月1日 世界杯彩票上线！,2014年3月1日 世界杯彩票上线！
宜信的企业文化是什么啊？,"宜人宜己,信用中国","宜人宜己,信用中国"
我想知道宝马x5的车型是什么啊？,4909×1938×1772,4909×1938×1772
你知道逼瘟丹是什么吗？,研末,研末
我想问问出岛出入口的编号是多少啊？,13-516,13-516
你知道边韶答弟子是什么意思啊？,白天,白天
你知道北京依道奥企业管理咨询有限公司的方向是什么啊？,房地产、金融,房地产、金融
西营村的人均收入是多少啊？,5825元,5825元
令人上瘾的游戏的软件大小是多少啊？,15.58m,15.58m
你知道别克君威gs最高时速是多少啊？,280km/h -290km/h,280km/h -290km/h
你知道好粘耐磨修补剂的用途有什么啊？,精确修复摩擦磨损失效的轴径,精确修复摩擦磨损失效的轴径
你知道西班牙塔尔伯特公司主战坦克现代化改造车型是谁生产啊？,塔尔伯特汽车有限公司,塔尔伯特汽车有限公司
你知道甲型h1n1流感病例密切接触者判定与管理方案(试行)的发布机构是什么部门吗？,卫生部,卫生部
你知道爱普生wp-4011的打印速度是多少吗？,24ppm,24ppm
我想知道郑介民的服役时间是什么时候啊？,1925年——1959年,1925年——1959年
你知道韩熙载夜宴图是谁创作的啊？,周文矩,周文矩
你知道瓷器爆破高清版是什么厂商吗？,瓷器爆破高清版(安卓版),瓷器爆破高清版(安卓版)
2010王杰天津演唱会具体时间是什么时间？,2010.11.06,2010.11.06
你知道电影圈套一共有多少部吗？,4部,4部
自由级濒海战斗舰的宽度是多少啊？,13.16米,13.16米
2012款哈弗h5欧风版绿静2.0t柴油手动两驱舒适是那年的产品啊？,2012,2012
阿拉伯语是属于什么语系啊？,亚非语系-闪米特语族,亚非语系-闪米特语族
监狱风云的imdb评分是多少啊？,9,9
你知道雪铁龙c4的轴距是多少吗？,1505毫米,1505毫米
建基cd-956e 是什么类型的驱动啊？,cd-rom,cd-rom
你知道摇滚糖果女孩的游戏指南是什么啊？,游戏加载完毕后即可开始游戏,游戏加载完毕后即可开始游戏
我想知道朝鲜世祖的陵墓是什么啊？,朝鲜扬州郡光陵,朝鲜扬州郡光陵
北京大学的博士点有多少个啊？,263个,263个
你知道照烧鱿鱼酿咖哩炒饭如何制作啊？,锅内倒油,锅内倒油
你知道元史辞典是谁写的啊?,邱树森 编,邱树森 编
你知道桃篮是什么意思吗？,平安、健康的寄托,平安、健康的寄托
cisco ws-c2950c-24的端口有多少个啊？,26,26
昆明中天花园是什么类型的房间啊？,"普通住宅,高层","普通住宅,高层"
你知道aem5700-pk的形状是什么吗？,膏体,膏体
宇智波斑是什么家族啊？,宇智波一族,宇智波一族
你知道暖奶器是什么执行标准吗？,gb4706-2008,gb4706-2008
你知道李嘉诚的公司是什么吗？,长江实业有限公司,长江实业有限公司
三星900x4c-ao1的cpu是什么型号的啊？,intel 酷睿i5 3317u,intel 酷睿i5 3317u
你知道阿灵顿的水域有多大吗？,3.2 平方英里（8.3 平方公里）,3.2 平方英里（8.3 平方公里）
a.o.史密斯ewh-60a5的特性是什么？,220v/50hz,220v/50hz
你知道用英文怎么说地球一小时吗？,earth hour,earth hour
我想知道地精科技是什么意思啊？,对nga的论坛系统的一个称呼,对nga的论坛系统的一个称呼
你知道兔宝和花花吃豆豆是什么游戏网站吗？,3366小游戏,3366小游戏
橄榄石的硬度是什么啊?,6.5-7,6.5-7
利云斯顿的主场在什么地方啊？,almondvale stadium,almondvale stadium
上海市卫生和计划生育委员会是什么的管辖的啊？,上海市人民政府组成部门,上海市人民政府组成部门
你知道红的曲长是什么吗？,5:51,5:51
弗兰基spas-15霰弹枪是用的什么供弹方式啊？,3、6、8 发可卸式单排弹匣,3、6、8 发可卸式单排弹匣
你知道乔翰·佩特罗的位置是什么吗？,中锋,中锋
你知道努比亚遗址的方位是什么吗？,"22°30'n,31°50'e","22°30'n,31°50'e"
大阪钢巴足球俱乐部的现任教练是谁啊？,片野坂知宏,片野坂知宏
你知道华风车子是什么味道的吗？,味甘淡微苦，性平,味甘淡微苦，性平
你知道沙溢的孩子叫什么吗？,安吉（小名）小鱼儿（小名）,安吉（小名）小鱼儿（小名）
你知道西单男孩的英文叫什么吗？,xidanboy,xidanboy
明平闽广之战参加战争的都有谁啊？,明军 元朝南方,明军 元朝南方
尊重丸的制备方法是什么？,上为末，姜汁糊丸，如梧恫子大,上为末，姜汁糊丸，如梧恫子大
你知道timken 21075/21212-b轴承的内圈是多大吗？,：21075,：21075
喜羊羊与灰太狼之妈妈乐疯狂在什么平台上播放？,爱奇艺（中国大陆） youtube（全球）,爱奇艺（中国大陆） youtube（全球）
你知道三宅宏实是哪个国家的运动吗？,日本,日本
你知道何家村的农民有多少人吗？,1901人,1901人
万鼎传媒主要是做什么节目的啊？,《我爱我宠》、《向尚看齐》,《我爱我宠》、《向尚看齐》
你知道贵阳市建设发展资金管理暂行办法是什么吗？,暂行办法,暂行办法
iko sb150a轴承的直径是多长的啊？,150 mm,150 mm
你知道远大医药一共有多少资产吗？,30亿元,19亿元
214省道是从什么地方开始的啊？,宁波市海曙区永宁桥,宁波市海曙区永宁桥
2012刘欢北京演唱会是什么地方的场馆啊？,万事达中心（原五棵松体育馆）,万事达中心（原五棵松体育馆）
烧坏的曲目多长啊？,1分钟,1分钟
雪佛兰prizm有多长啊？,4.427米 1.649米 1.364米,4.427米 1.649米 1.364米
你知道黑莓q10的像素吗？,前置200万像素 后置800万像素,前置200万像素 后置800万像素
你知道天地争霸美猴王的片头曲是什么啊？,《取一念》陈浩民演唱,《取一念》陈浩民演唱
你知道英国高尔夫球公开赛是什么时候开始的啊？,1860年,1860年
你知道广州形动数码科技有限公司主要是什么产品啊？,角色动画、产品动画、工业动画,角色动画、产品动画、工业动画
你知道中央区附近有什么行政区吗？,神户市（滩区、兵库区、北区）,神户市（滩区、兵库区、北区）
炉石传说：魔兽英雄传的收费模式是什么啊？,道具收费、关卡收费,道具收费、关卡收费
茨城机场是为什么城市服务的啊？,茨城县小美玉市,茨城县小美玉市
你知道杯状韧革菌的拉丁文怎么写吗？,polyporales,polyporales
小时代之折纸时代在什么网站上播出啊？,土豆  优酷  每日中午12时更新,土豆  优酷  每日中午12时更新
梦幻西游找茬2是属于什么专题啊？,找茬 梦幻西游,找茬 梦幻西游
戴尔dimension4600这个机器的类型是什么啊？,intel pentium 4 ht,intel pentium 4 ht
渡口村主要是什么产业啊？,农业,农业
赵村学区徐庄小学是什么时候建成的？,1949年,1949年
你知道镂是几笔吗？,14,14
我想知道樱的号码是什么啊？,47944,47944
你知道小虎队出过什么专辑吗？,逍遥游、红蜻蜓、男孩不哭、庸人自扰,逍遥游、红蜻蜓、男孩不哭、庸人自扰
你知道汽车是谁发明的吗？,卡尔·佛里特立奇·奔驰,卡尔·佛里特立奇·奔驰
庄房村有多少人啊？,892人,892人
巢运是在什么地方发生的啊？,台湾,台湾
你知道国家宫的大概是什么吗？,太子港,太子港
北京地铁15号线是谁投资建设的啊？,北京市基础设施投资有限公司,北京市基础设施投资有限公司
你知道皮红艳现在在世界排名第几吗？,第56位[3] （2013年1月3日）,第56位[3] （2013年1月3日）
你知道沙特阿拉伯是属于什么政治体制吗？,君主专制政体,君主专制政体
ge70es-2rs轴承的外径是多少吗？,105,105
你知道东平湖风景区的开园时间是什么时候啊？,07:30,07:30
你知道屈臣氏主要卖什么吗？,保健、美容、香水等,保健、美容、香水等
我想知道流浪剑客是属于什么类型的游戏啊？,魔兽争霸3：冰封王座,魔兽争霸3：冰封王座
你知道莆田机场是什么性质吗？,民用机场,民用机场
我可以问问维吾尔语是什么代码吗？,uyg,uyg
你知道中共中央办公厅谁是主任吗？,栗战书（中央政治局委员、中央书记处书记）,栗战书（中央政治局委员、中央书记处书记）
广西壮族自治区博物馆内存放了多少的文物啊？,50000件藏品,50000件藏品
北欧航空686号班机事故导致多少人去世啊？,118,118
雲台p701+ 的屏幕尺寸有多大啊？,7英寸,7英寸
你知道汪洋是什么时候参加工作的吗？,1972年6月,1972年6月
你知道追风油中都添加了什么吗？,白油，白樟油、苏丹木等,白油，白樟油、苏丹木等
大阪钢巴足球俱乐部的知名人物是谁啊？,稻本润一，加地亮，大黑将志，宫本恒靖，远滕保仁，宇佐美贵史,稻本润一，加地亮，大黑将志，宫本恒靖，远滕保仁，宇佐美贵史
214省道在什么地方到头啊？,临海市104国道环岛,临海市104国道环岛
你知道正直无邪是怎么用拼音拼写吗？,zhèng zhí wú xié,zhèng zhí wú xié
你知道拉布尼基足球俱乐部的球场是什么名字？,gradski skopje,gradski skopje
耿万钟第一次上场的是时间是什么时候啊？,1965年,1965年
你知道西门子kk22f57ti的耗电量每天大概多少啊？,0.56度/天,0.56度/天
你知道ak-47突击步枪的有效啊射程是多少啊？,300-350米,300-350米
惠臣vc2800gb的最大功率是多大？,350w,350w
你知道小坑水库的总库容是多少啊？,6922万立方米,6922万立方米
你知道卜荣果的文化程度是多大？,大学,大学
加菲猫3：为爱狂吃是什么系列的丛书啊？,加菲猫·梦吃成真系列,加菲猫·梦吃成真系列
你知道神堂坪村的村内企也有什么啊？,织布厂、硬材料有限公司罐头厂,织布厂、硬材料有限公司罐头厂
你知道三星sid-46cp是什么产品的功能吗？,日夜转换,日夜转换
阿曼达·霍尔顿是什么时候开始表演啊？,1991年,1991年
你知道愤怒的樱桃鸟是什么游戏名字吗？,cherrybird,cherrybird
弱电箱的主要用途是什么啊？,应用于智能家居 建筑智能化,应用于智能家居 建筑智能化
齝你知道它使用五笔怎么表示吗？,hwwk,hwwk
2012款埃尔法 3.5l 尊贵版的保修是什么政策啊？,三年或10万公里,三年或10万公里
你知道尼古拉·奥弗高bwf id的档案是什么啊？,61525（档案）,61525（档案）
南瓜黑芝麻汤圆的主要食材是什么啊？,米面类,米面类
林肯大学的学生都是那年的啊？,1827,1827
木卫一的反照率是多大啊？,0.63 ± 0.02,0.63 ± 0.02
幸福保达琳是什么包装规格的啊？,12片/盒 24片/盒,12片/盒 24片/盒
你知道乳房脂肪坏死的疫苗预防是什么吗？,否,否
银杯奖是谁发起的啊？,驻西德加拿大陆军,驻西德加拿大陆军
公孙弘的族裔是什么？,汉族,汉族
你知道两天一夜的声音是什么样子的啊？,5.1,5.1
布拉夫顿的人在10年有多少啊？,207,207
你知道新四大美女图的分类是什么啊？,油画,油画
你知道东安县教育局是什么职能啊？,管理全县教育情报、统计资料,管理全县教育情报、统计资料
你知道雷龙江都留经什么国家？,广东省广宁县、四会市,广东省广宁县、四会市
你知道房祖名的唱片螽斯叫什么？,齐天音乐,齐天音乐
乐亭县人民法院是什么区位的啊？,唐山市乐亭县,唐山市乐亭县
你知道是妈妈是棵树这本书是是妈妈给我的？,北京大学出版社,北京大学出版社
早产儿联盟是什么时候兴起的啊？,2006年,2006年
你知道黑莓z50的触摸屏是什么话？,支持,支持
你知道三甲基脲 的einecs号是什么啊？,211-169-7,211-169-7
你到底会不会上网是谁翻译的啊？,杨裕民 张认,杨裕民 张认
吸血鬼日记是有多少季啊？,6季,6季
你知道意大利王国的政体是什么吗？,君主立宪制、 单一制代议民主制 （1861–1926、1943–1946） 法西斯主义一党制 （1926–1943）,君主立宪制、 单一制代议民主制 （1861–1926、1943–1946） 法西斯主义一党制 （1926–1943）
c7突击步枪的子弹有多大？,5.56*45mm nato,5.56*45mm nato
国家文物局突发事件应急工作管理办法是什么时候颁布的啊？,2003年11月10日,2003年11月10日
你知道防水砂浆又叫什么吗？,阳离子氯丁胶乳防水防腐材料,阳离子氯丁胶乳防水防腐材料
你知道泰安车站是什么时候建成的啊？,1910年12月1日,1910年12月1日
你知道送鉴座主中有什么大家都知道的话吗？,纸灯吹灭尚迂回,纸灯吹灭尚迂回
我想知道矿产资源综合评价的翻译文章是什么？,依据中国矿产资源法规、技术经济政策规定和相关科学理论，对综合勘查出的主矿产、共生或伴生矿产进行科学的综合评价，确定其可供利用的经济技术价值和开采条件等，为进行下一步勘查工作或矿床综合开发提供依据。,依据中国矿产资源法规、技术经济政策规定和相关科学理论，对综合勘查出的主矿产、共生或伴生矿产进行科学的综合评价，确定其可供利用的经济技术价值和开采条件等，为进行下一步勘查工作或矿床综合开发提供依据。
你知道北京地铁8号线全程多少站吗？,17[1],17[1]
安卓版跑跑卡丁车是多少次下载啊？,41716次,41716次
海南西沙中沙南沙群岛自然保护区的天气怎么样啊？,热带季风气候、热带雨林气候,热带季风气候、热带雨林气候
你知道败血性休克是属于什么吗？,分类系统及外部资源,分类系统及外部资源
我想知道霍山广胜寺是属于什么教的啊？,佛教,佛教
你知道有什么到白礁村的公交吗？,漳23/角美709/厦801、827、853,漳23/角美709/厦801、827、853
虚数是谁发现的啊？,勒内·笛卡尔,勒内·笛卡尔
你知道广西大学机械工程学院的设备如何嘛？,先进的教学、科研仪器设备,先进的教学、科研仪器设备
你知道资源分级管理中的二级学科是什么吗？,资源管理学,资源管理学
你知道心理制胜是什么出版社出版的啊？,中国科学文化出版社,中国科学文化出版社
你知道β-环糊精包合工艺 是利用了什么吗？,淀粉在环状糊精糖基转移酶,淀粉在环状糊精糖基转移酶
我想知道芭比娃娃圣诞版的专题是什么啊？,圣诞节芭比娃娃唯美女生游戏精选,圣诞节芭比娃娃唯美女生游戏精选
你知道菊花菌核病的长病是什么部位吗？,茎干,茎干
台达电子有多少资产啊你清楚吗？,新台币 约250亿,新台币 约250亿
问一下巴黎欧莱雅净彻丝柔卸妆乳是多少钱啊？,￥100.00,￥100.00
你知道贵州大学继续教育学院的书记是谁吗？,白林立,白林立
批次间偏倚的外语是什么啊？,between-batch bias,between-batch bias
你知道慧海d-8820是否有源吗？,有源,有源
我想了解一下白色北极熊的缰绳是什么用的啊？,召唤/解散一头供骑乘北极熊坐骑,召唤/解散一头供骑乘北极熊坐骑
你知道奇瑞e5有多少个座位吗？,5,5
亿时空sx2272-h有多少啊cpu啊？,1颗,1颗
你知道神气不即的范畴是什么吗？,制谜,制谜
广百思3d眼镜gbsg03-bt的显示屏是多大的啊？,lcd,lcd
fn five-seven手枪是什么类型的啊？,延迟或减缓反冲作用、后吹式延迟闭锁枪机,延迟或减缓反冲作用、后吹式延迟闭锁枪机
你知道奥盛特otr260d旋挖钻机的信念是什么？,创新发展、产业报国,创新发展、产业报国
金刚狼的能力是什么啊？,超强自愈能力、利爪、野兽感知力,超强自愈能力、利爪、野兽感知力
你知道淮南钱潮轴承有限公司的绿化面积是多大啊？,33247㎡,33247㎡
你知道济州市的市树是什么树吗？,樟树,樟树
我想知道鬼青蛙的卡包是什么啊？,sovr(606)，de04,sovr(606)，de04
莲花村的农业户口有多少户啊？,611户,611户
lg ke770是什么时候上市的啊？,2007年,2007年
兵工是什么意思啊你知道吗？,制造武器装备的军事工业,制造武器装备的军事工业
我想知道巫神星的自传周期是多少啊？,12.15小时,12.15小时
你知道九龙巴士34线全程要收多少钱吗？,$4.30,$4.30
你知道绝命航班是在什么地方拍摄的吗？,泰国曼谷郊外,泰国曼谷郊外
我想知道清水河的流域是多长啊？,4215 km2,4215 km2
你知道普利斯坦丁足球俱乐部是属于什么国家的吗？,威尔士,威尔士
我想知道2008年博拉泽克有多少人啊？,203,203
华为ul33-0200l的ups类型是什么啊？,20,20
你知道厨具人才网有多少个会员吗？,30000个人,30000个人
重庆成都城市群的历史文化有什么啊？,巴文化、蜀文化,巴文化、蜀文化
你知道近地轨道先锋3的游戏星级吗？,★★★★☆,★★★★☆
你知道浙江省宁波市中级人民法院的院长是谁吗？,李泽明,李泽明
偶尔有阳光是谁写的词啊？,李宗盛,李宗盛
你知道落叶也悄悄是什么时候的作品吗？,2006-10-11,2006-10-11
余姚市有什么街道吗？,东南街道 凤山街道 梨洲街道,东南街道 凤山街道 梨洲街道
你知道二龙山是什么时候关闭园林啊？,17:00,17:00
你知道国际生物物理大会的周期是什么啊？,每三年一次,每三年一次
你知道杰克逊县人口密度是多少吗？,13人/km²（34人/mi²）,13人/km²（34人/mi²）
问问吉安路易吉·布冯地址的号码？,尤文图斯俱乐部1号，国家队1号,尤文图斯俱乐部1号，国家队1号
你知道言语行为理论是谁提出来的吗？,locutionary act,locutionary act
你知道backdoor/agobot.btm 的危害等级是什么吗？,★★,★★
联合车站是什么样子的形式啊？,地下车站,地下车站
你知道富钧praeton ld964的散热器类型是什么吗？,cpu散热器,cpu散热器
57式机枪的枪管长度是多少啊？,长度560毫米,长度560毫米
你知道袜娃娃的isbn号是多少吗？,9.78753E+12,9.78753E+12
半乳糖是长什么样子啊？,白色或几乎白色粉末,白色或几乎白色粉末
你知道危险世界的专辑有多长时间吗？,1小时7分钟,1小时7分钟
新庄国民运动中心是在什么时候投入使用的？,2012年底,2012年底
x战警是那个国家开发的游戏啊？,欧洲,欧洲
你找道白藤江之战参加了多少人啊？,南汉，交趾,南汉10000人 交趾不详
始元的时候谁手中有权利啊？,西汉 大長和,西汉 大長和
你知道国际素食协会的组织是盈利的吗？,非赢利,非赢利
碧蓝幻想的支持平台是什么啊？,"android,iphone,ipad","android,iphone,ipad"
你知道日本国会领导是谁吗？,从缺,从缺
威廉·约瑟夫·伯恩斯的总统是谁啊？,巴拉克·奥巴马,巴拉克·奥巴马
4·15陕西中学砍人事件的结果是什么啊？,致一人死亡,致一人死亡
你知道伊视通et-h2155的产品外形是什么样子的吗？,枪式,枪式
卖药广播电台通常第一条是什么吗？,正文,正文
浊度仪的测量范围是什么啊？,0-1.888ntu  0-100.0ntu,0-1.888ntu  0-100.0ntu
法德赫在足球场的什么位置踢球啊？,：守门员,：守门员
台北联营公车260路线从那开始？,台北车站,台北车站
你知道王取泉是在什么学校毕业的吗？,武汉大学,武汉大学
电子整机维修实习数字视听设备是什么出版社出版的啊？,电子工业出版社,电子工业出版社
你知道廖名扬有什么乐器吗？,吉他、钢琴、古筝、琵琶、萨克斯,吉他、钢琴、古筝、琵琶、萨克斯
你知道川内级轻巡洋舰的动力是什么吗？,4座帕森斯式蒸汽轮机,4座帕森斯式蒸汽轮机
我想知道武汉生物工程学院的地址是在什么地方啊？,武汉市阳逻开发区汉施路1号,武汉市阳逻开发区汉施路1号
2008年夏季奥林匹克运动会日本代表团得到多少奖牌啊？,金牌 9,金牌 9
你知道格涅沙的体型怎么样吗？,格涅沙的体态为断去一边象牙的象头人身并长着四只手臂，体色或红或黄，老鼠常伴随在旁或当祂的坐骑。在各种雕绘中，祂一般是盘坐着或是翘起其中一边的膝盖。,格涅沙的体态为断去一边象牙的象头人身并长着四只手臂，体色或红或黄，老鼠常伴随在旁或当祂的坐骑。在各种雕绘中，祂一般是盘坐着或是翘起其中一边的膝盖。
重庆轨道交通1号线的运营单位是什么啊？,重庆轨交集团,重庆轨交集团
你知道 on the wing的流派是什么啊？,pop,pop
工人物语7的游戏制作时什么啊？,blue byte,blue byte
华硕engtx560 se dc top/2di/1gd5至尊版的代号是什么啊？,gf114,gf114
你知道镂的郑码是什么吗？,puzm,puzm
磕榛子的兔兔在什么时候出版的啊？,2011-4,2011-4
你知道喉弥漫性黏膜肥厚，凹凸不平需要检查什么吗？,胸部透视 胸部ct检查 肺活检,胸部透视 胸部ct检查 肺活检
你知道胜者为王是谁编审的吗？,陈淑贤,陈淑贤
利来的受众对象是谁啊？,现代都市女性,现代都市女性
你知道北京壹家壹快捷酒店的餐饮是什么水平的啊？,中餐厅,中餐厅
我想知道地理信息系统的外语缩写是什么啊？,gis,gis
你知道活体解剖者：人面兽心的资源类型是什么吗？,iso,iso
偶尔有阳光是谁谱的曲子啊？,余永锦，,余永锦，
我想知道内蒙古自治区职工文联的大概情况是什么啊？,内蒙古自治区职工文联从1997年成立以来，组织会员单位,内蒙古自治区职工文联从1997年成立以来，组织会员单位
你知道小天鹅bcd-203jl的冷藏室的容量是多大？,121l,121l
金波的信念是什么啊？,做实力唱匠，努力+拼搏=永不后悔,做实力唱匠，努力+拼搏=永不后悔
你知道樟木乡的地貌特征是什么吗？,喀斯特地貌,喀斯特地貌
你知道包头医学院第一附属医院的年门诊量是多少吗？,日门诊量：940人,日门诊量：940人
北京亿星八方技术研究院的目标是什么啊？,“与时俱进，继往开来,“与时俱进，继往开来
你知道亚诺金itpc-406的感光元件是什么吗？,cmos,cmos
2012年荷兰国际暖通卫浴制冷展在哪个展览馆举办啊？,荷兰乌得勒支展览中心,荷兰乌得勒支展览中心
我想知道工业重型滑轨可以用于什么领域啊？,工业系统,工业系统
你知道杰克逊县水域是多少吗？,12 km²（4 mi²），0.86%,12 km²（4 mi²），0.86%
大嘴巴的成员是什么吗？,怀秋、mc40,怀秋、mc40
你知道光虫花核原菌是什么类型的吗？,古放射菌,古放射菌
你知道江淮官话是那几个城市说的啊？,南京、扬州、镇江、淮安、合肥等,南京、扬州、镇江、淮安、合肥等
吴国是谁当领袖啊？,杨行密、杨溥,杨行密、杨溥
科龙总部的地址是什么啊？,广东省佛山市顺德区,广东省佛山市顺德区
你知道威尔森氏症是什么原因吗？,第十三对染色体上的两个基因(atp7b)异常,第十三对染色体上的两个基因(atp7b)异常
你知道龙泉脆的拼音是什么意思吗？,long quan cui,long quan cui
大背头是和什么人群啊？,成熟,成熟
临邑县地方税务局在什么地方机构办公啊？,临邑县,临邑县
我想了解一下城巴40线的公交的时间？,星期一至六：8-20分钟一班 星期日及公众假期：20分钟一班,星期一至六：8-20分钟一班 星期日及公众假期：20分钟一班
你知道超级课程表是谁开发的吗？,广州超级周末科技有限公司,广州超级周末科技有限公司
甲基丙烯酸锌的熔点你知道吗？,229-232℃,229-232℃
综合递减率与什么相关你清楚吗？,矿产开采,矿产开采
你知道ip对讲有什么特点吗？,音质清晰流畅,音质清晰流畅
捡个王子带回家的漫画是谁画的啊？,雪森樱,雪森樱
北门站的最后一班车是什么时候啊？,松山新店线 往松山：00:28 往新店／台电大楼：00:44,松山新店线 往松山：00:28 往新店／台电大楼：00:44
你知道冥王神话的出版社是什么吗？,长鸿出版社（台湾）,长鸿出版社（台湾）
你知道疯蜜是怎么联系的吗？,微信朋友圈[9],微信朋友圈[9]
我想知道真菌性甲型灰指甲是否进入医保项目啊？,是,是
你知道林肯大学的研究生有多少啊？,596,596
清炖子鸡是属于什么类型的菜啊？,健康菜谱,健康菜谱
我爱董小姐是那个音乐公司的啊？,强强唱片,强强唱片
你知道中国梅花草（原变种）是属于什么类型啊？,短药隔亚组 subsect.amblysandra,短药隔亚组 subsect.amblysandra
你知道海螺水泥的总经理是谁吗？,任勇,任勇
q41f46型衬氟球阀的驱动方式是什么啊？,手动、蜗轮传动、气动、电动,手动、蜗轮传动、气动、电动
你知道蕨麻是什么类型的吗？,原始花被亚纲,蔷薇亚目
你知道安吉尔m880lk-xq是属于什么系列吗？,中国风系列,中国风系列
关于加强义务教育阶段农村留守儿童关爱和教育工作的意见是用于什么人群？,教基一〔2013〕1号,农村留守儿童
我想知道五脏指的是什么啊？,肝、心、脾、肺、肾,肝、心、脾、肺、肾
你知道大左的特长是什么吗？,主持，表演，绘画，音乐,主持，表演，绘画，音乐
女生节用英文应该怎么说啊？,girls' day,girls' day
卖药广播电台通常第二条是什么吗？,电台查获,电台查获
你知道陕西师范大学的国家重点学科目有多少吗？,4个,4个
你知道拉孔布·吕西安的年代是多少吗？,1974,1974
徐良有过什么重要的事情吗？,2011年圣诞节发行首张数位个人专辑《不良少年》 2013年11月18日发行第二张个人专辑《情话》,2011年圣诞节发行首张数位个人专辑《不良少年》 2013年11月18日发行第二张个人专辑《情话》
你知道新余市渝水区财政局副局长是谁吗？,欧阳瑛华,欧阳瑛华
郊区的乡级行政区有多少啊？,17,17
你知道肺尘病的icd-9是什么吗？,500-505,500-505
通识逻辑学的平装是什么啊？,297页,297页
你知道旧宫地区有多少人吗？,29002人,29002人
低体温症的温度是多少啊？,t68.,t68.
你知道品牌视角是什么吗？,苹果,电视版10分钟，网络版30分钟
我想知道金玉818的生育期是多少天啊？,138天,138天
你知道六合垸管理区的车牌代码是什么吗？,鄂d,鄂d
2008年夏季奥林匹克运动会日本代表团的ioc编码是什么吗？,jpn,jpn
阳光水岸兰庭的售楼地址是哪里啊？,祝塘镇环东路西侧,祝塘镇环东路西侧
你知道兰州大学的校歌是什么吗？,《兰州大学校歌》,《兰州大学校歌》
叶抱伊蚊的中文名字是什么啊？,双翅目,蚊科
你知道微星n480gtx-m2d15 + nv 3d眼镜的显示芯片的型号是什么吗？,geforce gtx 480,geforce gtx 480
华纳兄弟电影公司的兄弟是谁啊？,阿尔伯特·华纳,阿尔伯特·华纳
你知道美国海岸警卫队是属于什么地方啊？,美国国土安全部 (2003–present)[4]美国运输部 (1967–2003)[4]美国财政部 (1946–1967)[5]美国海军部 (1941–1946)[6]美国财政部 (1919–1946)[7]美国海军部 (1917–1919)[8]美国财政部 (1915-1917)[9][note 1],美国国土安全部 (2003–present)[4]美国运输部 (1967–2003)[4]美国财政部 (1946–1967)[5]美国海军部 (1941–1946)[6]美国财政部 (1919–1946)[7]美国海军部 (1917–1919)[8]美国财政部 (1915-1917)[9][note 1]
德林杰手枪是什么时候研制的啊？,1825年,1825年
你知道联合国教育、科学及文化组织是什么英文简称啊？,unesco,unesco
你知道正平的君主是谁吗？,郭子和,郭子和
你知道琼斯郡初级学院的校园面积吗？,"郊区,1.5km2","郊区,1.5km2"
九龙巴士98d、98p线是用的什么路线啊？,丹尼士三叉戟12米（atr） 富豪超级奥林比安12米（3asv） 富豪b9tl12米（avbwu）,丹尼士三叉戟12米（atr） 富豪超级奥林比安12米（3asv） 富豪b9tl12米（avbwu）
泰罗克面具的功能是什么啊？,增加爆击等级30点,增加爆击等级30点
你知道九龙区专线小巴6号线经过什么地方吗？,港铁红磡站,港铁红磡站
我想知道碘缺乏病防治日的节日意义是什么啊？,消除碘缺乏病,消除碘缺乏病
你知道冯·霍恩海姆的cv是什么啊？,03版cv 江原正士,03版cv 江原正士
植树节的节日起源是什么啊？,机构设定,机构设定
你知道惠特妮·休斯顿：挚爱是怎么存的吗？,cd,cd
你知道2006年大西洋飓风季死了多少人吗？,17,17
飓风古斯塔夫是什么时候形成的啊？,2008年8月25日,2008年8月25日
你知道出演流氓皇帝的有谁吗？,马国明、周丽淇、黄智雯、古明华、 袁伟豪、程可为、陆 永、杨诗敏,马国明、周丽淇、黄智雯、古明华、 袁伟豪、程可为、陆 永、杨诗敏
霍顿calais的发动机类型是什么啊？,v6发动机,v6发动机
你知道福源九方的销售状态时什么吗？,在售,在售
edahelper的工具是什么啊？,部分eda软件的鼠标增强,部分eda软件的鼠标增强
你知道苏洵是孩子叫什么吗?,苏轼、苏辙,苏轼、苏辙
金星jxd856的屏幕色彩是多少色的啊？,26万色,26万色
你知道横滨市的面积吗？,437.57km²,437.57km²
你知道内迪尔科习惯用什么脚啊？,右脚,右脚
你知道迪艾斯xid 590i用什么打印方式吗？,热转印打印,热转印打印
奔腾pff30e-b的材质是什么啊？,黑晶内胆,黑晶内胆
你知道卢米斯查菲中学的类型是什么吗？,男女合校/寄宿制,男女合校/寄宿制
你知道沱江级巡逻舰是什么类型的舰艇啊？,巡逻舰,巡逻舰
